"f_381-2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0782,1,0,0,0.025,0
1.0781,1,0.05,0.05,0.025,0
1.0754,1,0.1,0.1,0.025,0
1.0699,1,0.15,0.15,0.025,0
1.0642,1,0.2,0.2,0.025,0
1.0608,1,0.25,0.25,0.025,0
1.0468,1,0.3,0.3,0.025,0
1.0261,1,0.35,0.35,0.025,0
0.99678,1,0.4,0.4,0.025,0
0.9712,1,0.45,0.45,0.025,0
0.95655,1,0.5,0.5,0.025,0
0.90307,1,0.55,0.55,0.025,0
0.83412,1,0.6,0.6,0.025,0
0.77857,1,0.65,0.65,0.025,0
0.68014,1,0.7,0.7,0.025,0
0.64325,1,0.75,0.75,0.025,0
0.52012,1,0.8,0.8,0.025,0
0.37964,1,0.85,0.85,0.025,0
0.27742,1,0.9,0.9,0.025,0
0.11404,1,0.95,0.95,0.025,0
0.057583,1,1,1,0.025,0
