phi,kxx
0.1847780001,1.8041747462639998e-08
0.1847780001,1.8041747462639998e-08
0.1916990001,2.821880183991e-08
0.1916990001,2.821880183991e-08
0.15908900010000002,2.357976886826e-08
0.15908900010000002,2.357976886826e-08
0.1512730001,3.0236665219090006e-08
0.1512730001,3.0236665219090006e-08
0.1231680001,1.057360015921e-08
0.1231680001,1.057360015921e-08
0.1126110001,5.280908147504001e-09
0.1126110001,5.280908147504001e-09
0.1239690001,6.359190937385e-09
0.1239690001,6.359190937385e-09
0.1073770001,3.877266353312e-09
0.1073770001,3.877266353312e-09
0.1075920001,4.9756922477459995e-09
0.1075920001,4.9756922477459995e-09
0.1002450001,2.500261618987e-09
0.1002450001,2.500261618987e-09
0.15942600010000002,1.0375722037559999e-08
0.15942600010000002,1.0375722037559999e-08
0.2129260001,2.277907799497e-08
0.2129260001,2.277907799497e-08
0.19048500010000002,9.480168096674e-09
0.19048500010000002,9.480168096674e-09
0.17000600010000003,3.966198011875e-09
0.17000600010000003,3.966198011875e-09
0.16069800010000002,7.68556650642e-09
0.16069800010000002,7.68556650642e-09
0.18009800010000002,6.767490975828e-09
0.18009800010000002,6.767490975828e-09
0.2623410001,7.140024913879e-08
0.2623410001,7.140024913879e-08
0.28482200010000003,1.0514088684219999e-07
0.28482200010000003,1.0514088684219999e-07
0.2533570001,4.7266816299229996e-08
0.2533570001,4.7266816299229996e-08
0.2615920001,6.039309357388999e-08
0.2615920001,6.039309357388999e-08
0.22007000010000002,2.396634672487e-08
0.22007000010000002,2.396634672487e-08
0.2220530001,3.21194187985e-08
0.2220530001,3.21194187985e-08
0.1782280001,7.153743147748999e-09
0.1782280001,7.153743147748999e-09
0.1871400001,1.0484678369879999e-08
0.1871400001,1.0484678369879999e-08
0.2309890001,4.987821535103e-08
0.2309890001,4.987821535103e-08
0.2519250001,7.217962246879999e-08
0.2519250001,7.217962246879999e-08
0.2312740001,2.5491143223370002e-08
0.2312740001,2.5491143223370002e-08
0.2089820001,1.1986282170829998e-08
0.2089820001,1.1986282170829998e-08
0.22301300010000003,5.735149465562e-09
0.22301300010000003,5.735149465562e-09
0.2378990001,7.662541585831e-09
0.2378990001,7.662541585831e-09
0.19689500010000002,2.9681224785850002e-08
0.19689500010000002,2.9681224785850002e-08
0.2056520001,4.675016195168e-08
0.2056520001,4.675016195168e-08
0.17688600010000002,3.419965573024e-08
0.17688600010000002,3.419965573024e-08
0.1651260001,3.82945978866e-08
0.1651260001,3.82945978866e-08
0.1022100001,5.285931587101e-09
0.1022100001,5.285931587101e-09
0.1071230001,7.491784116465e-09
0.1071230001,7.491784116465e-09
0.12708700009999999,9.146242598118999e-09
0.12708700009999999,9.146242598118999e-09
0.1195080001,8.407856192758e-09
0.1195080001,8.407856192758e-09
0.1125050001,4.505946364645e-09
0.1125050001,4.505946364645e-09
0.12603800010000002,4.654438844362999e-09
0.12603800010000002,4.654438844362999e-09
0.1129020001,3.295356637166e-09
0.1129020001,3.295356637166e-09
0.17549800010000002,1.190111069004e-08
0.17549800010000002,1.190111069004e-08
0.1860000001,1.185758737251e-08
0.1860000001,1.185758737251e-08
0.15329400010000002,2.343419768151e-09
0.15329400010000002,2.343419768151e-09
0.1676790001,4.366069725336e-09
0.1676790001,4.366069725336e-09
0.18757000010000002,9.152420737977e-09
0.18757000010000002,9.152420737977e-09
0.14785300010000002,5.779482060198001e-09
0.14785300010000002,5.779482060198001e-09
0.1557200001,7.441352335834998e-09
0.1557200001,7.441352335834998e-09
0.2283850001,2.056669203336e-08
0.2283850001,2.056669203336e-08
0.2284680001,3.4169159800269986e-08
0.2284680001,3.4169159800269986e-08
0.2523400001,5.5160130160299993e-08
0.2523400001,5.5160130160299993e-08
0.2196080001,2.5451567599039997e-08
0.2196080001,2.5451567599039997e-08
0.20495000010000003,1.489178436603e-08
0.20495000010000003,1.489178436603e-08
0.2041100001,1.971754322604e-08
0.2041100001,1.971754322604e-08
0.18202600010000003,1.264110578038e-08
0.18202600010000003,1.264110578038e-08
0.2625060001,6.099126778602001e-08
0.2625060001,6.099126778602001e-08
0.2051330001,1.185423183329e-08
0.2051330001,1.185423183329e-08
0.2345430001,1.783814518585e-08
0.2345430001,1.783814518585e-08
0.22612500010000003,9.719260135332e-09
0.22612500010000003,9.719260135332e-09
0.2426030001,1.161352124042e-08
0.2426030001,1.161352124042e-08
0.2396170001,3.612178754932e-08
0.2396170001,3.612178754932e-08
0.21130600010000003,3.780962377698e-08
0.21130600010000003,3.780962377698e-08
0.1646790001,1.829104428822e-08
0.1646790001,1.829104428822e-08
0.1919940001,4.604234056092e-08
0.1919940001,4.604234056092e-08
0.1442110001,1.315716797395e-08
0.1442110001,1.315716797395e-08
0.1243650001,7.775544303681e-09
0.1243650001,7.775544303681e-09
0.1002180001,6.321766805849e-09
0.1002180001,6.321766805849e-09
0.1258390001,9.365171793758e-09
0.1258390001,9.365171793758e-09
0.1437950001,6.860222289095999e-09
0.1437950001,6.860222289095999e-09
0.1537730001,5.356891372371e-09
0.1537730001,5.356891372371e-09
0.12548500010000002,2.2673773278859997e-09
0.12548500010000002,2.2673773278859997e-09
0.12604000010000002,2.44599070672e-09
0.12604000010000002,2.44599070672e-09
0.1151300001,2.0977153433829995e-09
0.1151300001,2.0977153433829995e-09
0.1308030001,2.587031915523e-09
0.1308030001,2.587031915523e-09
0.1610450001,3.4145769718059995e-09
0.1610450001,3.4145769718059995e-09
0.15892700010000002,4.640355448872e-09
0.15892700010000002,4.640355448872e-09
0.12542100009999999,2.658840454831e-09
