"f_381-0:0","f_381-0:1","f_381-0:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,-2.0769e-06,0,1,0,0,0.025,0
1.4068e-06,-2.0779e-06,0,1,0.033333,0.033333,0.025,0
2.813e-06,-2.0785e-06,0,1,0.066667,0.066667,0.025,0
4.2163e-06,-2.0811e-06,0,1,0.1,0.1,0.025,0
5.6179e-06,-2.0828e-06,0,1,0.13333,0.13333,0.025,0
7.0144e-06,-2.0862e-06,0,1,0.16667,0.16667,0.025,0
8.4071e-06,-2.0898e-06,0,1,0.2,0.2,0.025,0
9.7935e-06,-2.0933e-06,0,1,0.23333,0.23333,0.025,0
1.1173e-05,-2.0992e-06,0,1,0.26667,0.26667,0.025,0
1.2546e-05,-2.1022e-06,0,1,0.3,0.3,0.025,0
1.3909e-05,-2.1109e-06,0,1,0.33333,0.33333,0.025,0
1.5265e-05,-2.1127e-06,0,1,0.36667,0.36667,0.025,0
1.6607e-05,-2.1245e-06,0,1,0.4,0.4,0.025,0
1.7944e-05,-2.1245e-06,0,1,0.43333,0.43333,0.025,0
1.926e-05,-2.1374e-06,0,1,0.46667,0.46667,0.025,0
2.0574e-05,-2.1374e-06,0,1,0.5,0.5,0.025,0
2.1861e-05,-2.1511e-06,0,1,0.53333,0.53333,0.025,0
2.3145e-05,-2.1535e-06,0,1,0.56667,0.56667,0.025,0
2.4404e-05,-2.1653e-06,0,1,0.6,0.6,0.025,0
2.5654e-05,-2.1701e-06,0,1,0.63333,0.63333,0.025,0
2.688e-05,-2.1796e-06,0,1,0.66667,0.66667,0.025,0
2.8093e-05,-2.1865e-06,0,1,0.7,0.7,0.025,0
2.9284e-05,-2.1934e-06,0,1,0.73333,0.73333,0.025,0
3.0455e-05,-2.2021e-06,0,1,0.76667,0.76667,0.025,0
3.1608e-05,-2.2064e-06,0,1,0.8,0.8,0.025,0
3.2734e-05,-2.2161e-06,0,1,0.83333,0.83333,0.025,0
3.3845e-05,-2.2181e-06,0,1,0.86667,0.86667,0.025,0
3.4922e-05,-2.2277e-06,0,1,0.9,0.9,0.025,0
3.5988e-05,-2.2277e-06,0,1,0.93333,0.93333,0.025,0
3.7012e-05,-2.2354e-06,0,1,0.96667,0.96667,0.025,0
3.8027e-05,-2.2354e-06,0,1,1,1,0.025,0
