"f_10471-1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.10731,1,0,0,0.5,0
0.10731,1,0.001,0.001,0.5,0
0.1073,1,0.002,0.002,0.5,0
0.1073,1,0.003,0.003,0.5,0
0.1073,1,0.004,0.004,0.5,0
0.1073,1,0.005,0.005,0.5,0
0.10729,1,0.006,0.006,0.5,0
0.10729,1,0.007,0.007,0.5,0
0.10729,1,0.008,0.008,0.5,0
0.10729,1,0.009,0.009,0.5,0
0.10728,1,0.01,0.01,0.5,0
0.10728,1,0.011,0.011,0.5,0
0.10728,1,0.012,0.012,0.5,0
0.10728,1,0.013,0.013,0.5,0
0.10727,1,0.014,0.014,0.5,0
0.10727,1,0.015,0.015,0.5,0
0.10727,1,0.016,0.016,0.5,0
0.10726,1,0.017,0.017,0.5,0
0.10726,1,0.018,0.018,0.5,0
0.10726,1,0.019,0.019,0.5,0
0.10726,1,0.02,0.02,0.5,0
0.10725,1,0.021,0.021,0.5,0
0.10725,1,0.022,0.022,0.5,0
0.10724,1,0.023,0.023,0.5,0
0.10723,1,0.024,0.024,0.5,0
0.10722,1,0.025,0.025,0.5,0
0.10721,1,0.026,0.026,0.5,0
0.10721,1,0.027,0.027,0.5,0
0.1072,1,0.028,0.028,0.5,0
0.10719,1,0.029,0.029,0.5,0
0.10718,1,0.03,0.03,0.5,0
0.10718,1,0.031,0.031,0.5,0
0.10717,1,0.032,0.032,0.5,0
0.10716,1,0.033,0.033,0.5,0
0.10715,1,0.034,0.034,0.5,0
0.10714,1,0.035,0.035,0.5,0
0.10714,1,0.036,0.036,0.5,0
0.10713,1,0.037,0.037,0.5,0
0.10712,1,0.038,0.038,0.5,0
0.10711,1,0.039,0.039,0.5,0
0.10711,1,0.04,0.04,0.5,0
0.1071,1,0.041,0.041,0.5,0
0.10709,1,0.042,0.042,0.5,0
0.10708,1,0.043,0.043,0.5,0
0.10706,1,0.044,0.044,0.5,0
0.10705,1,0.045,0.045,0.5,0
0.10704,1,0.046,0.046,0.5,0
0.10702,1,0.047,0.047,0.5,0
0.10701,1,0.048,0.048,0.5,0
0.107,1,0.049,0.049,0.5,0
0.10698,1,0.05,0.05,0.5,0
0.10697,1,0.051,0.051,0.5,0
0.10696,1,0.052,0.052,0.5,0
0.10695,1,0.053,0.053,0.5,0
0.10693,1,0.054,0.054,0.5,0
0.10692,1,0.055,0.055,0.5,0
0.10691,1,0.056,0.056,0.5,0
0.10689,1,0.057,0.057,0.5,0
0.10688,1,0.058,0.058,0.5,0
0.10687,1,0.059,0.059,0.5,0
0.10686,1,0.06,0.06,0.5,0
0.10684,1,0.061,0.061,0.5,0
0.10683,1,0.062,0.062,0.5,0
0.10681,1,0.063,0.063,0.5,0
0.1068,1,0.064,0.064,0.5,0
0.10678,1,0.065,0.065,0.5,0
0.10676,1,0.066,0.066,0.5,0
0.10674,1,0.067,0.067,0.5,0
0.10672,1,0.068,0.068,0.5,0
0.1067,1,0.069,0.069,0.5,0
0.10669,1,0.07,0.07,0.5,0
0.10667,1,0.071,0.071,0.5,0
0.10665,1,0.072,0.072,0.5,0
0.10663,1,0.073,0.073,0.5,0
0.10661,1,0.074,0.074,0.5,0
0.1066,1,0.075,0.075,0.5,0
0.10658,1,0.076,0.076,0.5,0
0.10656,1,0.077,0.077,0.5,0
