"f_10549-0:0","f_10549-0:1","f_10549-0:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,-4.3078e-05,0,1,0,0,0.5,0
4.4386e-08,-4.3078e-05,0,1,0.001,0.001,0.5,0
8.8772e-08,-4.3078e-05,0,1,0.002,0.002,0.5,0
1.3316e-07,-4.3078e-05,0,1,0.003,0.003,0.5,0
1.7754e-07,-4.3078e-05,0,1,0.004,0.004,0.5,0
2.2193e-07,-4.3078e-05,0,1,0.005,0.005,0.5,0
2.6632e-07,-4.3078e-05,0,1,0.006,0.006,0.5,0
3.107e-07,-4.3078e-05,0,1,0.007,0.007,0.5,0
3.5509e-07,-4.3078e-05,0,1,0.008,0.008,0.5,0
3.9947e-07,-4.3078e-05,0,1,0.009,0.009,0.5,0
4.4386e-07,-4.3078e-05,0,1,0.01,0.01,0.5,0
4.8825e-07,-4.3078e-05,0,1,0.011,0.011,0.5,0
5.3263e-07,-4.3078e-05,0,1,0.012,0.012,0.5,0
5.7702e-07,-4.3078e-05,0,1,0.013,0.013,0.5,0
6.214e-07,-4.3078e-05,0,1,0.014,0.014,0.5,0
6.6579e-07,-4.3078e-05,0,1,0.015,0.015,0.5,0
7.1018e-07,-4.3078e-05,0,1,0.016,0.016,0.5,0
7.5456e-07,-4.3078e-05,0,1,0.017,0.017,0.5,0
7.9895e-07,-4.3078e-05,0,1,0.018,0.018,0.5,0
8.4333e-07,-4.3078e-05,0,1,0.019,0.019,0.5,0
8.8772e-07,-4.3078e-05,0,1,0.02,0.02,0.5,0
9.321e-07,-4.3078e-05,0,1,0.021,0.021,0.5,0
9.7647e-07,-4.3078e-05,0,1,0.022,0.022,0.5,0
1.0208e-06,-4.3078e-05,0,1,0.023,0.023,0.5,0
1.0652e-06,-4.3078e-05,0,1,0.024,0.024,0.5,0
1.1096e-06,-4.3078e-05,0,1,0.025,0.025,0.5,0
1.154e-06,-4.3078e-05,0,1,0.026,0.026,0.5,0
1.1983e-06,-4.3078e-05,0,1,0.027,0.027,0.5,0
1.2427e-06,-4.3078e-05,0,1,0.028,0.028,0.5,0
1.2871e-06,-4.3078e-05,0,1,0.029,0.029,0.5,0
1.3314e-06,-4.3078e-05,0,1,0.03,0.03,0.5,0
1.3758e-06,-4.3078e-05,0,1,0.031,0.031,0.5,0
1.4202e-06,-4.3078e-05,0,1,0.032,0.032,0.5,0
1.4645e-06,-4.3078e-05,0,1,0.033,0.033,0.5,0
1.5089e-06,-4.3078e-05,0,1,0.034,0.034,0.5,0
1.5533e-06,-4.3078e-05,0,1,0.035,0.035,0.5,0
1.5977e-06,-4.3078e-05,0,1,0.036,0.036,0.5,0
1.642e-06,-4.3078e-05,0,1,0.037,0.037,0.5,0
1.6864e-06,-4.3078e-05,0,1,0.038,0.038,0.5,0
1.7308e-06,-4.3078e-05,0,1,0.039,0.039,0.5,0
1.7751e-06,-4.3078e-05,0,1,0.04,0.04,0.5,0
1.8195e-06,-4.3078e-05,0,1,0.041,0.041,0.5,0
1.8639e-06,-4.3078e-05,0,1,0.042,0.042,0.5,0
1.9082e-06,-4.3078e-05,0,1,0.043,0.043,0.5,0
1.9525e-06,-4.3078e-05,0,1,0.044,0.044,0.5,0
1.9969e-06,-4.3078e-05,0,1,0.045,0.045,0.5,0
2.0412e-06,-4.3078e-05,0,1,0.046,0.046,0.5,0
2.0856e-06,-4.3078e-05,0,1,0.047,0.047,0.5,0
2.1299e-06,-4.3078e-05,0,1,0.048,0.048,0.5,0
2.1742e-06,-4.3078e-05,0,1,0.049,0.049,0.5,0
2.2186e-06,-4.3078e-05,0,1,0.05,0.05,0.5,0
2.2629e-06,-4.3078e-05,0,1,0.051,0.051,0.5,0
2.3073e-06,-4.3078e-05,0,1,0.052,0.052,0.5,0
2.3516e-06,-4.3078e-05,0,1,0.053,0.053,0.5,0
2.3959e-06,-4.3078e-05,0,1,0.054,0.054,0.5,0
2.4403e-06,-4.3078e-05,0,1,0.055,0.055,0.5,0
2.4846e-06,-4.3078e-05,0,1,0.056,0.056,0.5,0
2.5289e-06,-4.3078e-05,0,1,0.057,0.057,0.5,0
2.5733e-06,-4.3078e-05,0,1,0.058,0.058,0.5,0
2.6176e-06,-4.3078e-05,0,1,0.059,0.059,0.5,0
2.662e-06,-4.3078e-05,0,1,0.06,0.06,0.5,0
2.7063e-06,-4.3078e-05,0,1,0.061,0.061,0.5,0
2.7506e-06,-4.3078e-05,0,1,0.062,0.062,0.5,0
2.795e-06,-4.3078e-05,0,1,0.063,0.063,0.5,0
2.8392e-06,-4.3078e-05,0,1,0.064,0.064,0.5,0
2.8835e-06,-4.3078e-05,0,1,0.065,0.065,0.5,0
2.9278e-06,-4.3078e-05,0,1,0.066,0.066,0.5,0
2.9721e-06,-4.3078e-05,0,1,0.067,0.067,0.5,0
3.0164e-06,-4.3078e-05,0,1,0.068,0.068,0.5,0
3.0607e-06,-4.3078e-05,0,1,0.069,0.069,0.5,0
3.105e-06,-4.3078e-05,0,1,0.07,0.07,0.5,0
3.1493e-06,-4.3078e-05,0,1,0.071,0.071,0.5,0
3.1936e-06,-4.3078e-05,0,1,0.072,0.072,0.5,0
3.2379e-06,-4.3078e-05,0,1,0.073,0.073,0.5,0
3.2822e-06,-4.3078e-05,0,1,0.074,0.074,0.5,0
3.3265e-06,-4.3078e-05,0,1,0.075,0.075,0.5,0
3.3707e-06,-4.3078e-05,0,1,0.076,0.076,0.5,0
3.415e-06,-4.3078e-05,0,1,0.077,0.077,0.5,0
3.4593e-06,-4.3078e-05,0,1,0.078,0.078,0.5,0
3.5036e-06,-4.3078e-05,0,1,0.079,0.079,0.5,0
3.5479e-06,-4.3078e-05,0,1,0.08,0.08,0.5,0
3.5922e-06,-4.3078e-05,0,1,0.081,0.081,0.5,0
3.6365e-06,-4.3078e-05,0,1,0.082,0.082,0.5,0
3.6808e-06,-4.3078e-05,0,1,0.083,0.083,0.5,0
3.725e-06,-4.3078e-05,0,1,0.084,0.084,0.5,0
3.7693e-06,-4.3078e-05,0,1,0.085,0.085,0.5,0
3.8135e-06,-4.3078e-05,0,1,0.086,0.086,0.5,0
3.8577e-06,-4.3078e-05,0,1,0.087,0.087,0.5,0
3.9019e-06,-4.3078e-05,0,1,0.088,0.088,0.5,0
