"f_381-0:0","f_381-0:1","f_381-0:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,-1.5312e-06,0,1,0,0,0.025,0
2.0406e-06,-1.5319e-06,0,1,0.033333,0.033333,0.025,0
4.0813e-06,-1.5323e-06,0,1,0.066667,0.066667,0.025,0
6.1239e-06,-1.5342e-06,0,1,0.1,0.1,0.025,0
8.1673e-06,-1.5354e-06,0,1,0.13333,0.13333,0.025,0
1.0214e-05,-1.5379e-06,0,1,0.16667,0.16667,0.025,0
1.2262e-05,-1.5406e-06,0,1,0.2,0.2,0.025,0
1.4315e-05,-1.5432e-06,0,1,0.23333,0.23333,0.025,0
1.6371e-05,-1.5478e-06,0,1,0.26667,0.26667,0.025,0
1.8431e-05,-1.5501e-06,0,1,0.3,0.3,0.025,0
2.0498e-05,-1.5572e-06,0,1,0.33333,0.33333,0.025,0
2.2568e-05,-1.5587e-06,0,1,0.36667,0.36667,0.025,0
2.4646e-05,-1.5687e-06,0,1,0.4,0.4,0.025,0
2.6728e-05,-1.5687e-06,0,1,0.43333,0.43333,0.025,0
2.8821e-05,-1.5802e-06,0,1,0.46667,0.46667,0.025,0
3.0916e-05,-1.5802e-06,0,1,0.5,0.5,0.025,0
3.3023e-05,-1.5929e-06,0,1,0.53333,0.53333,0.025,0
3.5132e-05,-1.5952e-06,0,1,0.56667,0.56667,0.025,0
3.7251e-05,-1.6064e-06,0,1,0.6,0.6,0.025,0
3.9371e-05,-1.611e-06,0,1,0.63333,0.63333,0.025,0
4.1494e-05,-1.6202e-06,0,1,0.66667,0.66667,0.025,0
4.3615e-05,-1.6269e-06,0,1,0.7,0.7,0.025,0
4.5729e-05,-1.6335e-06,0,1,0.73333,0.73333,0.025,0
4.7823e-05,-1.6416e-06,0,1,0.76667,0.76667,0.025,0
4.9898e-05,-1.6456e-06,0,1,0.8,0.8,0.025,0
5.1907e-05,-1.6537e-06,0,1,0.83333,0.83333,0.025,0
5.3877e-05,-1.6553e-06,0,1,0.86667,0.86667,0.025,0
5.5668e-05,-1.6612e-06,0,1,0.9,0.9,0.025,0
5.7399e-05,-1.6612e-06,0,1,0.93333,0.93333,0.025,0
5.8675e-05,-1.6693e-06,0,1,0.96667,0.96667,0.025,0
5.9852e-05,-1.6693e-06,0,1,1,1,0.025,0
