"f_10549-0:0","f_10549-0:1","f_10549-0:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.1449e-06,-4.5803e-05,0,1,0.09,0.09,0.5,0
3.1798e-06,-4.5803e-05,0,1,0.091,0.091,0.5,0
3.2148e-06,-4.5803e-05,0,1,0.092,0.092,0.5,0
3.2497e-06,-4.5803e-05,0,1,0.093,0.093,0.5,0
3.2846e-06,-4.5803e-05,0,1,0.094,0.094,0.5,0
3.3195e-06,-4.5803e-05,0,1,0.095,0.095,0.5,0
3.3544e-06,-4.5803e-05,0,1,0.096,0.096,0.5,0
3.3893e-06,-4.5803e-05,0,1,0.097,0.097,0.5,0
3.4242e-06,-4.5803e-05,0,1,0.098,0.098,0.5,0
3.4592e-06,-4.5803e-05,0,1,0.099,0.099,0.5,0
3.4941e-06,-4.5803e-05,0,1,0.1,0.1,0.5,0
3.529e-06,-4.5803e-05,0,1,0.101,0.101,0.5,0
3.5639e-06,-4.5803e-05,0,1,0.102,0.102,0.5,0
3.5988e-06,-4.5803e-05,0,1,0.103,0.103,0.5,0
3.6337e-06,-4.5803e-05,0,1,0.104,0.104,0.5,0
3.6686e-06,-4.5803e-05,0,1,0.105,0.105,0.5,0
3.7035e-06,-4.5803e-05,0,1,0.106,0.106,0.5,0
3.7384e-06,-4.5803e-05,0,1,0.107,0.107,0.5,0
3.7733e-06,-4.5803e-05,0,1,0.108,0.108,0.5,0
3.8082e-06,-4.5803e-05,0,1,0.109,0.109,0.5,0
3.8431e-06,-4.5803e-05,0,1,0.11,0.11,0.5,0
3.878e-06,-4.5803e-05,0,1,0.111,0.111,0.5,0
3.9128e-06,-4.5803e-05,0,1,0.112,0.112,0.5,0
3.9477e-06,-4.5803e-05,0,1,0.113,0.113,0.5,0
3.9826e-06,-4.5803e-05,0,1,0.114,0.114,0.5,0
4.0175e-06,-4.5803e-05,0,1,0.115,0.115,0.5,0
4.0524e-06,-4.5803e-05,0,1,0.116,0.116,0.5,0
4.0873e-06,-4.5803e-05,0,1,0.117,0.117,0.5,0
4.1222e-06,-4.5803e-05,0,1,0.118,0.118,0.5,0
4.1571e-06,-4.5803e-05,0,1,0.119,0.119,0.5,0
4.192e-06,-4.5803e-05,0,1,0.12,0.12,0.5,0
4.2269e-06,-4.5803e-05,0,1,0.121,0.121,0.5,0
4.2618e-06,-4.5803e-05,0,1,0.122,0.122,0.5,0
4.2966e-06,-4.5803e-05,0,1,0.123,0.123,0.5,0
4.3315e-06,-4.5803e-05,0,1,0.124,0.124,0.5,0
4.3664e-06,-4.5803e-05,0,1,0.125,0.125,0.5,0
4.4013e-06,-4.5803e-05,0,1,0.126,0.126,0.5,0
4.4362e-06,-4.5803e-05,0,1,0.127,0.127,0.5,0
4.471e-06,-4.5803e-05,0,1,0.128,0.128,0.5,0
4.5059e-06,-4.5803e-05,0,1,0.129,0.129,0.5,0
4.5407e-06,-4.5803e-05,0,1,0.13,0.13,0.5,0
4.5756e-06,-4.5803e-05,0,1,0.131,0.131,0.5,0
4.6105e-06,-4.5803e-05,0,1,0.132,0.132,0.5,0
4.6453e-06,-4.5803e-05,0,1,0.133,0.133,0.5,0
4.6802e-06,-4.5803e-05,0,1,0.134,0.134,0.5,0
4.7151e-06,-4.5803e-05,0,1,0.135,0.135,0.5,0
4.7499e-06,-4.5803e-05,0,1,0.136,0.136,0.5,0
4.7848e-06,-4.5803e-05,0,1,0.137,0.137,0.5,0
4.8197e-06,-4.5803e-05,0,1,0.138,0.138,0.5,0
4.8545e-06,-4.5803e-05,0,1,0.139,0.139,0.5,0
4.8894e-06,-4.5803e-05,0,1,0.14,0.14,0.5,0
4.9242e-06,-4.5803e-05,0,1,0.141,0.141,0.5,0
4.9591e-06,-4.5803e-05,0,1,0.142,0.142,0.5,0
4.994e-06,-4.5803e-05,0,1,0.143,0.143,0.5,0
5.0288e-06,-4.5803e-05,0,1,0.144,0.144,0.5,0
5.0637e-06,-4.5803e-05,0,1,0.145,0.145,0.5,0
5.0986e-06,-4.5803e-05,0,1,0.146,0.146,0.5,0
5.1334e-06,-4.5803e-05,0,1,0.147,0.147,0.5,0
5.1682e-06,-4.5803e-05,0,1,0.148,0.148,0.5,0
5.2031e-06,-4.5803e-05,0,1,0.149,0.149,0.5,0
5.2379e-06,-4.5803e-05,0,1,0.15,0.15,0.5,0
5.2727e-06,-4.5803e-05,0,1,0.151,0.151,0.5,0
5.3076e-06,-4.5803e-05,0,1,0.152,0.152,0.5,0
5.3424e-06,-4.5803e-05,0,1,0.153,0.153,0.5,0
5.3772e-06,-4.5803e-05,0,1,0.154,0.154,0.5,0
5.4121e-06,-4.5803e-05,0,1,0.155,0.155,0.5,0
5.4469e-06,-4.5803e-05,0,1,0.156,0.156,0.5,0
5.4817e-06,-4.5803e-05,0,1,0.157,0.157,0.5,0
5.5166e-06,-4.5803e-05,0,1,0.158,0.158,0.5,0
5.5514e-06,-4.5803e-05,0,1,0.159,0.159,0.5,0
5.5862e-06,-4.5803e-05,0,1,0.16,0.16,0.5,0
5.6211e-06,-4.5803e-05,0,1,0.161,0.161,0.5,0
5.6559e-06,-4.5803e-05,0,1,0.162,0.162,0.5,0
5.6907e-06,-4.5803e-05,0,1,0.163,0.163,0.5,0
5.7256e-06,-4.5803e-05,0,1,0.164,0.164,0.5,0
5.7604e-06,-4.5803e-05,0,1,0.165,0.165,0.5,0
5.7952e-06,-4.5803e-05,0,1,0.166,0.166,0.5,0
5.83e-06,-4.5803e-05,0,1,0.167,0.167,0.5,0
5.8648e-06,-4.5803e-05,0,1,0.168,0.168,0.5,0
5.8996e-06,-4.5803e-05,0,1,0.169,0.169,0.5,0
5.9344e-06,-4.5803e-05,0,1,0.17,0.17,0.5,0
5.9692e-06,-4.5803e-05,0,1,0.171,0.171,0.5,0
6.004e-06,-4.5803e-05,0,1,0.172,0.172,0.5,0
6.0388e-06,-4.5803e-05,0,1,0.173,0.173,0.5,0
6.0736e-06,-4.5803e-05,0,1,0.174,0.174,0.5,0
6.1084e-06,-4.5803e-05,0,1,0.175,0.175,0.5,0
6.1432e-06,-4.5803e-05,0,1,0.176,0.176,0.5,0
6.178e-06,-4.5803e-05,0,1,0.177,0.177,0.5,0
6.2128e-06,-4.5803e-05,0,1,0.178,0.178,0.5,0
6.2476e-06,-4.5803e-05,0,1,0.179,0.179,0.5,0
6.2824e-06,-4.5803e-05,0,1,0.18,0.18,0.5,0
6.3172e-06,-4.5803e-05,0,1,0.181,0.181,0.5,0
6.352e-06,-4.5803e-05,0,1,0.182,0.182,0.5,0
6.3868e-06,-4.5803e-05,0,1,0.183,0.183,0.5,0
6.4216e-06,-4.5803e-05,0,1,0.184,0.184,0.5,0
6.4564e-06,-4.5803e-05,0,1,0.185,0.185,0.5,0
6.4912e-06,-4.5803e-05,0,1,0.186,0.186,0.5,0
6.526e-06,-4.5803e-05,0,1,0.187,0.187,0.5,0
6.5608e-06,-4.5803e-05,0,1,0.188,0.188,0.5,0
6.5955e-06,-4.5803e-05,0,1,0.189,0.189,0.5,0
6.6303e-06,-4.5803e-05,0,1,0.19,0.19,0.5,0
6.6651e-06,-4.5803e-05,0,1,0.191,0.191,0.5,0
6.6998e-06,-4.5803e-05,0,1,0.192,0.192,0.5,0
6.7346e-06,-4.5803e-05,0,1,0.193,0.193,0.5,0
6.7693e-06,-4.5803e-05,0,1,0.194,0.194,0.5,0
6.8041e-06,-4.5803e-05,0,1,0.195,0.195,0.5,0
6.8388e-06,-4.5803e-05,0,1,0.196,0.196,0.5,0
6.8736e-06,-4.5803e-05,0,1,0.197,0.197,0.5,0
6.9084e-06,-4.5803e-05,0,1,0.198,0.198,0.5,0
6.9431e-06,-4.5803e-05,0,1,0.199,0.199,0.5,0
6.9779e-06,-4.5803e-05,0,1,0.2,0.2,0.5,0
7.0126e-06,-4.5803e-05,0,1,0.201,0.201,0.5,0
7.0474e-06,-4.5803e-05,0,1,0.202,0.202,0.5,0
7.0822e-06,-4.5803e-05,0,1,0.203,0.203,0.5,0
7.1169e-06,-4.5803e-05,0,1,0.204,0.204,0.5,0
7.1517e-06,-4.5803e-05,0,1,0.205,0.205,0.5,0
7.1864e-06,-4.5803e-05,0,1,0.206,0.206,0.5,0
7.2212e-06,-4.5803e-05,0,1,0.207,0.207,0.5,0
7.2559e-06,-4.5803e-05,0,1,0.208,0.208,0.5,0
7.2907e-06,-4.5803e-05,0,1,0.209,0.209,0.5,0
