"f_72-1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1794.2,1,6.55,0.5,6.55,0
1789.5,1,6.56,0.5,6.56,0
1784.8,1,6.57,0.5,6.57,0
1780.1,1,6.58,0.5,6.58,0
1775.4,1,6.59,0.5,6.59,0
1770.7,1,6.6,0.5,6.6,0
1765.9,1,6.61,0.5,6.61,0
1761.2,1,6.62,0.5,6.62,0
1756.5,1,6.63,0.5,6.63,0
1751.8,1,6.64,0.5,6.64,0
1747.1,1,6.65,0.5,6.65,0
1742.4,1,6.66,0.5,6.66,0
1737.7,1,6.67,0.5,6.67,0
1732.9,1,6.68,0.5,6.68,0
1728.2,1,6.69,0.5,6.69,0
1723.5,1,6.7,0.5,6.7,0
1718.8,1,6.71,0.5,6.71,0
1714.1,1,6.72,0.5,6.72,0
1709.4,1,6.73,0.5,6.73,0
1704.7,1,6.74,0.5,6.74,0
1699.9,1,6.75,0.5,6.75,0
1695.1,1,6.76,0.5,6.76,0
1690.3,1,6.77,0.5,6.77,0
1685.5,1,6.78,0.5,6.78,0
1680.7,1,6.79,0.5,6.79,0
1675.8,1,6.8,0.5,6.8,0
1671,1,6.81,0.5,6.81,0
1666.2,1,6.82,0.5,6.82,0
1661.4,1,6.83,0.5,6.83,0
1656.6,1,6.84,0.5,6.84,0
1651.8,1,6.85,0.5,6.85,0
1646.9,1,6.86,0.5,6.86,0
1642.1,1,6.87,0.5,6.87,0
1637.3,1,6.88,0.5,6.88,0
1632.5,1,6.89,0.5,6.89,0
1627.7,1,6.9,0.5,6.9,0
1622.8,1,6.91,0.5,6.91,0
1618,1,6.92,0.5,6.92,0
1613.2,1,6.93,0.5,6.93,0
1608.4,1,6.94,0.5,6.94,0
1603.6,1,6.95,0.5,6.95,0
1598.7,1,6.96,0.5,6.96,0
1593.9,1,6.97,0.5,6.97,0
1589.1,1,6.98,0.5,6.98,0
1584.3,1,6.99,0.5,6.99,0
1579.5,1,7,0.5,7,0
1574.5,1,7.01,0.5,7.01,0
1569.6,1,7.02,0.5,7.02,0
1564.7,1,7.03,0.5,7.03,0
1559.8,1,7.04,0.5,7.04,0
1554.9,1,7.05,0.5,7.05,0
1550,1,7.06,0.5,7.06,0
1545,1,7.07,0.5,7.07,0
1540.1,1,7.08,0.5,7.08,0
1535.2,1,7.09,0.5,7.09,0
1530.3,1,7.1,0.5,7.1,0
1525.4,1,7.11,0.5,7.11,0
1520.5,1,7.12,0.5,7.12,0
1515.5,1,7.13,0.5,7.13,0
1510.6,1,7.14,0.5,7.14,0
1505.7,1,7.15,0.5,7.15,0
1500.8,1,7.16,0.5,7.16,0
1495.9,1,7.17,0.5,7.17,0
1491,1,7.18,0.5,7.18,0
1486,1,7.19,0.5,7.19,0
1481.1,1,7.2,0.5,7.2,0
1476.2,1,7.21,0.5,7.21,0
1471.3,1,7.22,0.5,7.22,0
1466.4,1,7.23,0.5,7.23,0
1461.5,1,7.24,0.5,7.24,0
1456.5,1,7.25,0.5,7.25,0
1451.5,1,7.26,0.5,7.26,0
1446.5,1,7.27,0.5,7.27,0
1441.5,1,7.28,0.5,7.28,0
1436.5,1,7.29,0.5,7.29,0
1431.5,1,7.3,0.5,7.3,0
1426.5,1,7.31,0.5,7.31,0
1421.5,1,7.32,0.5,7.32,0
1416.5,1,7.33,0.5,7.33,0
1411.5,1,7.34,0.5,7.34,0
1406.5,1,7.35,0.5,7.35,0
1401.5,1,7.36,0.5,7.36,0
1396.5,1,7.37,0.5,7.37,0
