"f_1372-2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9779.2,1,0,0.5,0,0
9779.2,1,0.25,0.5,0.25,0
9779.2,1,0.5,0.5,0.5,0
9779.2,1,0.75,0.5,0.75,0
9779.2,1,1,0.5,1,0
9779.2,1,1.25,0.5,1.25,0
9779.2,1,1.5,0.5,1.5,0
9779.2,1,1.75,0.5,1.75,0
9779.2,1,2,0.5,2,0
9779.2,1,2.25,0.5,2.25,0
9779.2,1,2.5,0.5,2.5,0
9779.2,1,2.75,0.5,2.75,0
9779.2,1,3,0.5,3,0
9779.2,1,3.25,0.5,3.25,0
9779.1,1,3.5,0.5,3.5,0
9778.9,1,3.75,0.5,3.75,0
9778.7,1,4,0.5,4,0
9778.2,1,4.25,0.5,4.25,0
9777.4,1,4.5,0.5,4.5,0
9776,1,4.75,0.5,4.75,0
9773.6,1,5,0.5,5,0
9769.5,1,5.25,0.5,5.25,0
9762.7,1,5.5,0.5,5.5,0
9751.4,1,5.75,0.5,5.75,0
9733.4,1,6,0.5,6,0
9704.9,1,6.25,0.5,6.25,0
9660.8,1,6.5,0.5,6.5,0
9594.3,1,6.75,0.5,6.75,0
9495.8,1,7,0.5,7,0
9353.5,1,7.25,0.5,7.25,0
9152.8,1,7.5,0.5,7.5,0
8876.8,1,7.75,0.5,7.75,0
8507.1,1,8,0.5,8,0
8025.1,1,8.25,0.5,8.25,0
7414,1,8.5,0.5,8.5,0
6661.4,1,8.75,0.5,8.75,0
5761.6,1,9,0.5,9,0
4718,1,9.25,0.5,9.25,0
3544.8,1,9.5,0.5,9.5,0
2266.7,1,9.75,0.5,9.75,0
918.09,1,10,0.5,10,0
