"f_72-1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5789.5,1,0,0.5,0,0
5789.3,1,0.01,0.5,0.01,0
5789.1,1,0.02,0.5,0.02,0
5788.9,1,0.03,0.5,0.03,0
5788.8,1,0.04,0.5,0.04,0
5788.6,1,0.05,0.5,0.05,0
5788.4,1,0.06,0.5,0.06,0
5788.2,1,0.07,0.5,0.07,0
5788,1,0.08,0.5,0.08,0
5787.9,1,0.09,0.5,0.09,0
5787.7,1,0.1,0.5,0.1,0
5787.5,1,0.11,0.5,0.11,0
5787.3,1,0.12,0.5,0.12,0
5787.2,1,0.13,0.5,0.13,0
5787,1,0.14,0.5,0.14,0
5786.8,1,0.15,0.5,0.15,0
5786.6,1,0.16,0.5,0.16,0
5786.4,1,0.17,0.5,0.17,0
5786.3,1,0.18,0.5,0.18,0
5786.1,1,0.19,0.5,0.19,0
5785.9,1,0.2,0.5,0.2,0
5785.7,1,0.21,0.5,0.21,0
5785.6,1,0.22,0.5,0.22,0
5785.4,1,0.23,0.5,0.23,0
5785.2,1,0.24,0.5,0.24,0
5785,1,0.25,0.5,0.25,0
5784.5,1,0.26,0.5,0.26,0
5784,1,0.27,0.5,0.27,0
5783.4,1,0.28,0.5,0.28,0
5782.9,1,0.29,0.5,0.29,0
5782.4,1,0.3,0.5,0.3,0
5781.8,1,0.31,0.5,0.31,0
5781.3,1,0.32,0.5,0.32,0
5780.8,1,0.33,0.5,0.33,0
5780.2,1,0.34,0.5,0.34,0
5779.7,1,0.35,0.5,0.35,0
5779.2,1,0.36,0.5,0.36,0
5778.6,1,0.37,0.5,0.37,0
5778.1,1,0.38,0.5,0.38,0
5777.6,1,0.39,0.5,0.39,0
5777,1,0.4,0.5,0.4,0
5776.5,1,0.41,0.5,0.41,0
5776,1,0.42,0.5,0.42,0
5775.4,1,0.43,0.5,0.43,0
5774.9,1,0.44,0.5,0.44,0
5774.4,1,0.45,0.5,0.45,0
5773.8,1,0.46,0.5,0.46,0
5773.3,1,0.47,0.5,0.47,0
5772.8,1,0.48,0.5,0.48,0
5772.3,1,0.49,0.5,0.49,0
5771.7,1,0.5,0.5,0.5,0
5770.8,1,0.51,0.5,0.51,0
5769.9,1,0.52,0.5,0.52,0
5769.1,1,0.53,0.5,0.53,0
5768.2,1,0.54,0.5,0.54,0
5767.3,1,0.55,0.5,0.55,0
5766.4,1,0.56,0.5,0.56,0
5765.5,1,0.57,0.5,0.57,0
5764.6,1,0.58,0.5,0.58,0
5763.7,1,0.59,0.5,0.59,0
5762.9,1,0.6,0.5,0.6,0
5762,1,0.61,0.5,0.61,0
5761.1,1,0.62,0.5,0.62,0
5760.2,1,0.63,0.5,0.63,0
5759.3,1,0.64,0.5,0.64,0
5758.4,1,0.65,0.5,0.65,0
5757.5,1,0.66,0.5,0.66,0
5756.7,1,0.67,0.5,0.67,0
5755.8,1,0.68,0.5,0.68,0
5754.9,1,0.69,0.5,0.69,0
5754,1,0.7,0.5,0.7,0
5753.1,1,0.71,0.5,0.71,0
5752.2,1,0.72,0.5,0.72,0
5751.3,1,0.73,0.5,0.73,0
