"f_1372-2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5791.5,1,0,0.5,0,0
5791.5,1,0.25,0.5,0.25,0
5784.1,1,0.5,0.5,0.5,0
5767.9,1,0.75,0.5,0.75,0
5742.8,1,1,0.5,1,0
5708.8,1,1.25,0.5,1.25,0
5666.2,1,1.5,0.5,1.5,0
5614.8,1,1.75,0.5,1.75,0
5554.8,1,2,0.5,2,0
5486.3,1,2.25,0.5,2.25,0
5409.4,1,2.5,0.5,2.5,0
5324.2,1,2.75,0.5,2.75,0
5230.7,1,3,0.5,3,0
5129.2,1,3.25,0.5,3.25,0
5019.8,1,3.5,0.5,3.5,0
4902.7,1,3.75,0.5,3.75,0
4778,1,4,0.5,4,0
4645.9,1,4.25,0.5,4.25,0
4506.6,1,4.5,0.5,4.5,0
4360.4,1,4.75,0.5,4.75,0
4207.4,1,5,0.5,5,0
4047.9,1,5.25,0.5,5.25,0
3882.1,1,5.5,0.5,5.5,0
3710.3,1,5.75,0.5,5.75,0
3532.7,1,6,0.5,6,0
3349.6,1,6.25,0.5,6.25,0
3161.3,1,6.5,0.5,6.5,0
2968,1,6.75,0.5,6.75,0
2770.2,1,7,0.5,7,0
2568,1,7.25,0.5,7.25,0
2361.8,1,7.5,0.5,7.5,0
2151.9,1,7.75,0.5,7.75,0
1938.6,1,8,0.5,8,0
1722.3,1,8.25,0.5,8.25,0
1503.3,1,8.5,0.5,8.5,0
1282,1,8.75,0.5,8.75,0
1058.6,1,9,0.5,9,0
833.58,1,9.25,0.5,9.25,0
607.25,1,9.5,0.5,9.5,0
379.96,1,9.75,0.5,9.75,0
152.08,1,10,0.5,10,0
