"f_1372-2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9231.4,1,0,0.5,0,0
9231.4,1,0.25,0.5,0.25,0
9223.7,1,0.5,0.5,0.5,0
9206.8,1,0.75,0.5,0.75,0
9180.6,1,1,0.5,1,0
9144.9,1,1.25,0.5,1.25,0
9099.5,1,1.5,0.5,1.5,0
9044.2,1,1.75,0.5,1.75,0
8978.8,1,2,0.5,2,0
8902.8,1,2.25,0.5,2.25,0
8816.1,1,2.5,0.5,2.5,0
8718.2,1,2.75,0.5,2.75,0
8608.7,1,3,0.5,3,0
8487.2,1,3.25,0.5,3.25,0
8353.4,1,3.5,0.5,3.5,0
8206.9,1,3.75,0.5,3.75,0
8047.3,1,4,0.5,4,0
7874.2,1,4.25,0.5,4.25,0
7687.3,1,4.5,0.5,4.5,0
7486.4,1,4.75,0.5,4.75,0
7271.2,1,5,0.5,5,0
7041.5,1,5.25,0.5,5.25,0
6797.3,1,5.5,0.5,5.5,0
6538.4,1,5.75,0.5,5.75,0
6265,1,6,0.5,6,0
5977.1,1,6.25,0.5,6.25,0
5675,1,6.5,0.5,6.5,0
5358.9,1,6.75,0.5,6.75,0
5029.3,1,7,0.5,7,0
4686.6,1,7.25,0.5,7.25,0
4331.5,1,7.5,0.5,7.5,0
3964.6,1,7.75,0.5,7.75,0
3586.7,1,8,0.5,8,0
3198.6,1,8.25,0.5,8.25,0
2801.3,1,8.5,0.5,8.5,0
2395.9,1,8.75,0.5,8.75,0
1983.4,1,9,0.5,9,0
1564.9,1,9.25,0.5,9.25,0
1141.8,1,9.5,0.5,9.5,0
715.19,1,9.75,0.5,9.75,0
286.42,1,10,0.5,10,0
