"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.0024707,-0.049441,0,1,0.733,0.733,0.5,0
-0.0024628,-0.049435,0,1,0.734,0.734,0.5,0
-0.0024548,-0.049429,0,1,0.735,0.735,0.5,0
-0.0024468,-0.049424,0,1,0.736,0.736,0.5,0
-0.0024388,-0.049418,0,1,0.737,0.737,0.5,0
-0.0024308,-0.049412,0,1,0.738,0.738,0.5,0
-0.0024229,-0.049406,0,1,0.739,0.739,0.5,0
-0.0024149,-0.049401,0,1,0.74,0.74,0.5,0
-0.0024069,-0.049395,0,1,0.741,0.741,0.5,0
-0.0023989,-0.049389,0,1,0.742,0.742,0.5,0
-0.0023909,-0.049383,0,1,0.743,0.743,0.5,0
-0.002383,-0.049378,0,1,0.744,0.744,0.5,0
-0.002375,-0.049372,0,1,0.745,0.745,0.5,0
-0.002367,-0.049366,0,1,0.746,0.746,0.5,0
-0.002359,-0.04936,0,1,0.747,0.747,0.5,0
-0.002351,-0.049355,0,1,0.748,0.748,0.5,0
-0.0023431,-0.049349,0,1,0.749,0.749,0.5,0
-0.0023351,-0.049343,0,1,0.75,0.75,0.5,0
-0.0023271,-0.049337,0,1,0.751,0.751,0.5,0
-0.0023191,-0.049332,0,1,0.752,0.752,0.5,0
-0.0023111,-0.049326,0,1,0.753,0.753,0.5,0
-0.0023031,-0.04932,0,1,0.754,0.754,0.5,0
-0.0022952,-0.049314,0,1,0.755,0.755,0.5,0
-0.0022872,-0.049309,0,1,0.756,0.756,0.5,0
-0.0022792,-0.049303,0,1,0.757,0.757,0.5,0
-0.0022712,-0.049297,0,1,0.758,0.758,0.5,0
-0.0022632,-0.049291,0,1,0.759,0.759,0.5,0
-0.0022553,-0.049286,0,1,0.76,0.76,0.5,0
-0.0022473,-0.04928,0,1,0.761,0.761,0.5,0
-0.0022393,-0.049274,0,1,0.762,0.762,0.5,0
-0.0022313,-0.049268,0,1,0.763,0.763,0.5,0
-0.0022233,-0.049263,0,1,0.764,0.764,0.5,0
-0.0022154,-0.049257,0,1,0.765,0.765,0.5,0
-0.0022074,-0.049251,0,1,0.766,0.766,0.5,0
-0.0021994,-0.049246,0,1,0.767,0.767,0.5,0
-0.0021914,-0.04924,0,1,0.768,0.768,0.5,0
-0.0021834,-0.049234,0,1,0.769,0.769,0.5,0
-0.0021755,-0.049228,0,1,0.77,0.77,0.5,0
-0.0021675,-0.049223,0,1,0.771,0.771,0.5,0
-0.0021595,-0.049217,0,1,0.772,0.772,0.5,0
-0.0021515,-0.049211,0,1,0.773,0.773,0.5,0
-0.0021435,-0.049205,0,1,0.774,0.774,0.5,0
-0.0021356,-0.0492,0,1,0.775,0.775,0.5,0
-0.0021276,-0.049194,0,1,0.776,0.776,0.5,0
-0.0021196,-0.049188,0,1,0.777,0.777,0.5,0
-0.0021116,-0.049182,0,1,0.778,0.778,0.5,0
-0.0021036,-0.049177,0,1,0.779,0.779,0.5,0
-0.0020957,-0.049171,0,1,0.78,0.78,0.5,0
-0.0020877,-0.049165,0,1,0.781,0.781,0.5,0
-0.0020797,-0.049159,0,1,0.782,0.782,0.5,0
-0.0020717,-0.049154,0,1,0.783,0.783,0.5,0
-0.0020637,-0.049148,0,1,0.784,0.784,0.5,0
-0.0020557,-0.049142,0,1,0.785,0.785,0.5,0
-0.0020478,-0.049136,0,1,0.786,0.786,0.5,0
-0.0020398,-0.049131,0,1,0.787,0.787,0.5,0
-0.0020318,-0.049125,0,1,0.788,0.788,0.5,0
-0.0020238,-0.049119,0,1,0.789,0.789,0.5,0
-0.0020158,-0.049113,0,1,0.79,0.79,0.5,0
-0.0020079,-0.049108,0,1,0.791,0.791,0.5,0
-0.0019999,-0.049102,0,1,0.792,0.792,0.5,0
-0.0019912,-0.049097,0,1,0.793,0.793,0.5,0
-0.0019819,-0.049094,0,1,0.794,0.794,0.5,0
-0.0019725,-0.04909,0,1,0.795,0.795,0.5,0
-0.0019632,-0.049086,0,1,0.796,0.796,0.5,0
-0.0019538,-0.049083,0,1,0.797,0.797,0.5,0
-0.0019445,-0.049079,0,1,0.798,0.798,0.5,0
-0.0019351,-0.049076,0,1,0.799,0.799,0.5,0
-0.0019258,-0.049072,0,1,0.8,0.8,0.5,0
-0.0019164,-0.049069,0,1,0.801,0.801,0.5,0
-0.0019071,-0.049065,0,1,0.802,0.802,0.5,0
-0.0018977,-0.049061,0,1,0.803,0.803,0.5,0
-0.0018884,-0.049058,0,1,0.804,0.804,0.5,0
-0.001879,-0.049054,0,1,0.805,0.805,0.5,0
-0.0018697,-0.049051,0,1,0.806,0.806,0.5,0
-0.0018603,-0.049047,0,1,0.807,0.807,0.5,0
-0.001851,-0.049043,0,1,0.808,0.808,0.5,0
-0.0018416,-0.04904,0,1,0.809,0.809,0.5,0
-0.0018323,-0.049036,0,1,0.81,0.81,0.5,0
-0.0018229,-0.049033,0,1,0.811,0.811,0.5,0
-0.0018136,-0.049029,0,1,0.812,0.812,0.5,0
-0.0018042,-0.049026,0,1,0.813,0.813,0.5,0
-0.0017949,-0.049022,0,1,0.814,0.814,0.5,0
-0.0017855,-0.049018,0,1,0.815,0.815,0.5,0
-0.0017762,-0.049015,0,1,0.816,0.816,0.5,0
-0.0017668,-0.049011,0,1,0.817,0.817,0.5,0
-0.0017575,-0.049008,0,1,0.818,0.818,0.5,0
-0.0017481,-0.049004,0,1,0.819,0.819,0.5,0
-0.0017388,-0.049,0,1,0.82,0.82,0.5,0
-0.0017294,-0.048997,0,1,0.821,0.821,0.5,0
-0.0017201,-0.048993,0,1,0.822,0.822,0.5,0
-0.0017107,-0.04899,0,1,0.823,0.823,0.5,0
-0.0017013,-0.048986,0,1,0.824,0.824,0.5,0
-0.001692,-0.048983,0,1,0.825,0.825,0.5,0
-0.0016826,-0.048979,0,1,0.826,0.826,0.5,0
-0.0016733,-0.048975,0,1,0.827,0.827,0.5,0
-0.0016639,-0.048972,0,1,0.828,0.828,0.5,0
-0.0016546,-0.048968,0,1,0.829,0.829,0.5,0
-0.0016452,-0.048965,0,1,0.83,0.83,0.5,0
-0.0016359,-0.048961,0,1,0.831,0.831,0.5,0
-0.0016265,-0.048957,0,1,0.832,0.832,0.5,0
-0.0016172,-0.048954,0,1,0.833,0.833,0.5,0
-0.0016078,-0.04895,0,1,0.834,0.834,0.5,0
-0.0015985,-0.048947,0,1,0.835,0.835,0.5,0
-0.0015891,-0.048943,0,1,0.836,0.836,0.5,0
-0.0015798,-0.048939,0,1,0.837,0.837,0.5,0
-0.0015704,-0.048936,0,1,0.838,0.838,0.5,0
-0.0015611,-0.048932,0,1,0.839,0.839,0.5,0
-0.0015517,-0.048929,0,1,0.84,0.84,0.5,0
-0.0015424,-0.048925,0,1,0.841,0.841,0.5,0
-0.001533,-0.048922,0,1,0.842,0.842,0.5,0
-0.0015237,-0.048918,0,1,0.843,0.843,0.5,0
-0.0015143,-0.048914,0,1,0.844,0.844,0.5,0
-0.001505,-0.048911,0,1,0.845,0.845,0.5,0
-0.0014956,-0.048907,0,1,0.846,0.846,0.5,0
-0.0014863,-0.048904,0,1,0.847,0.847,0.5,0
-0.0014769,-0.0489,0,1,0.848,0.848,0.5,0
-0.0014676,-0.048896,0,1,0.849,0.849,0.5,0
-0.0014582,-0.048893,0,1,0.85,0.85,0.5,0
-0.0014489,-0.048889,0,1,0.851,0.851,0.5,0
-0.0014395,-0.048886,0,1,0.852,0.852,0.5,0
-0.0014302,-0.048882,0,1,0.853,0.853,0.5,0
-0.0014208,-0.048879,0,1,0.854,0.854,0.5,0
-0.0014114,-0.048875,0,1,0.855,0.855,0.5,0
-0.0014021,-0.048871,0,1,0.856,0.856,0.5,0
-0.0013927,-0.048868,0,1,0.857,0.857,0.5,0
-0.0013834,-0.048864,0,1,0.858,0.858,0.5,0
-0.001374,-0.048861,0,1,0.859,0.859,0.5,0
-0.0013647,-0.048857,0,1,0.86,0.86,0.5,0
-0.0013553,-0.048853,0,1,0.861,0.861,0.5,0
-0.001346,-0.04885,0,1,0.862,0.862,0.5,0
-0.0013366,-0.048846,0,1,0.863,0.863,0.5,0
-0.0013273,-0.048843,0,1,0.864,0.864,0.5,0
-0.0013179,-0.048839,0,1,0.865,0.865,0.5,0
-0.0013086,-0.048835,0,1,0.866,0.866,0.5,0
-0.0012992,-0.048832,0,1,0.867,0.867,0.5,0
-0.0012899,-0.048828,0,1,0.868,0.868,0.5,0
-0.0012805,-0.048825,0,1,0.869,0.869,0.5,0
-0.0012712,-0.048821,0,1,0.87,0.87,0.5,0
-0.0012618,-0.048818,0,1,0.871,0.871,0.5,0
-0.0012525,-0.048814,0,1,0.872,0.872,0.5,0
-0.0012431,-0.04881,0,1,0.873,0.873,0.5,0
-0.0012338,-0.048807,0,1,0.874,0.874,0.5,0
-0.0012244,-0.048803,0,1,0.875,0.875,0.5,0
-0.0012151,-0.0488,0,1,0.876,0.876,0.5,0
-0.0012057,-0.048796,0,1,0.877,0.877,0.5,0
-0.0011964,-0.048792,0,1,0.878,0.878,0.5,0
-0.001187,-0.048789,0,1,0.879,0.879,0.5,0
-0.0011777,-0.048785,0,1,0.88,0.88,0.5,0
-0.0011683,-0.048782,0,1,0.881,0.881,0.5,0
-0.001159,-0.048778,0,1,0.882,0.882,0.5,0
-0.0011496,-0.048775,0,1,0.883,0.883,0.5,0
-0.0011403,-0.048771,0,1,0.884,0.884,0.5,0
-0.0011309,-0.048767,0,1,0.885,0.885,0.5,0
-0.0011216,-0.048764,0,1,0.886,0.886,0.5,0
-0.0011122,-0.04876,0,1,0.887,0.887,0.5,0
-0.0011028,-0.048757,0,1,0.888,0.888,0.5,0
-0.0010935,-0.048753,0,1,0.889,0.889,0.5,0
-0.0010841,-0.048749,0,1,0.89,0.89,0.5,0
