"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.0020873,-0.095843,0,1,0.109,0.109,1,0
-0.0021061,-0.095838,0,1,0.11,0.11,1,0
-0.0021248,-0.095832,0,1,0.111,0.111,1,0
-0.0021435,-0.095827,0,1,0.112,0.112,1,0
-0.0021623,-0.095821,0,1,0.113,0.113,1,0
-0.0021799,-0.095813,0,1,0.114,0.114,1,0
-0.002197,-0.095804,0,1,0.115,0.115,1,0
-0.002214,-0.095795,0,1,0.116,0.116,1,0
-0.0022311,-0.095786,0,1,0.117,0.117,1,0
-0.0022482,-0.095777,0,1,0.118,0.118,1,0
-0.0022652,-0.095768,0,1,0.119,0.119,1,0
-0.0022823,-0.095758,0,1,0.12,0.12,1,0
-0.0022994,-0.095749,0,1,0.121,0.121,1,0
-0.0023164,-0.09574,0,1,0.122,0.122,1,0
-0.0023335,-0.095731,0,1,0.123,0.123,1,0
-0.0023505,-0.095722,0,1,0.124,0.124,1,0
-0.0023676,-0.095713,0,1,0.125,0.125,1,0
-0.0023847,-0.095703,0,1,0.126,0.126,1,0
-0.0024017,-0.095694,0,1,0.127,0.127,1,0
-0.0024188,-0.095685,0,1,0.128,0.128,1,0
-0.0024359,-0.095676,0,1,0.129,0.129,1,0
-0.0024529,-0.095667,0,1,0.13,0.13,1,0
-0.00247,-0.095658,0,1,0.131,0.131,1,0
-0.0024871,-0.095648,0,1,0.132,0.132,1,0
-0.0025041,-0.095639,0,1,0.133,0.133,1,0
-0.0025212,-0.09563,0,1,0.134,0.134,1,0
-0.0025383,-0.095621,0,1,0.135,0.135,1,0
-0.0025553,-0.095612,0,1,0.136,0.136,1,0
-0.0025724,-0.095603,0,1,0.137,0.137,1,0
-0.0025895,-0.095593,0,1,0.138,0.138,1,0
-0.0026065,-0.095584,0,1,0.139,0.139,1,0
-0.0026236,-0.095575,0,1,0.14,0.14,1,0
-0.0026407,-0.095566,0,1,0.141,0.141,1,0
-0.0026577,-0.095557,0,1,0.142,0.142,1,0
-0.0026748,-0.095548,0,1,0.143,0.143,1,0
-0.0026919,-0.095538,0,1,0.144,0.144,1,0
-0.0027089,-0.095529,0,1,0.145,0.145,1,0
-0.002726,-0.09552,0,1,0.146,0.146,1,0
-0.0027431,-0.095511,0,1,0.147,0.147,1,0
-0.0027601,-0.095502,0,1,0.148,0.148,1,0
-0.0027772,-0.095493,0,1,0.149,0.149,1,0
-0.0027942,-0.095483,0,1,0.15,0.15,1,0
-0.0028113,-0.095474,0,1,0.151,0.151,1,0
-0.0028284,-0.095465,0,1,0.152,0.152,1,0
-0.0028454,-0.095456,0,1,0.153,0.153,1,0
-0.0028625,-0.095447,0,1,0.154,0.154,1,0
-0.0028796,-0.095438,0,1,0.155,0.155,1,0
-0.0028966,-0.095428,0,1,0.156,0.156,1,0
-0.0029137,-0.095419,0,1,0.157,0.157,1,0
-0.0029308,-0.09541,0,1,0.158,0.158,1,0
-0.0029478,-0.095401,0,1,0.159,0.159,1,0
-0.0029649,-0.095392,0,1,0.16,0.16,1,0
-0.002982,-0.095383,0,1,0.161,0.161,1,0
-0.002999,-0.095373,0,1,0.162,0.162,1,0
-0.0030161,-0.095364,0,1,0.163,0.163,1,0
-0.0030332,-0.095355,0,1,0.164,0.164,1,0
-0.0030502,-0.095346,0,1,0.165,0.165,1,0
-0.0030673,-0.095337,0,1,0.166,0.166,1,0
-0.0030844,-0.095328,0,1,0.167,0.167,1,0
