"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.0034231,-0.010009,0,1,0.813,0.813,0.2,0
-0.0034053,-0.010007,0,1,0.814,0.814,0.2,0
-0.0033876,-0.010005,0,1,0.815,0.815,0.2,0
-0.0033699,-0.010003,0,1,0.816,0.816,0.2,0
-0.0033521,-0.010001,0,1,0.817,0.817,0.2,0
-0.0033344,-0.0099991,0,1,0.818,0.818,0.2,0
-0.0033166,-0.0099973,0,1,0.819,0.819,0.2,0
-0.0032989,-0.0099954,0,1,0.82,0.82,0.2,0
-0.0032812,-0.0099935,0,1,0.821,0.821,0.2,0
-0.0032634,-0.0099916,0,1,0.822,0.822,0.2,0
-0.0032457,-0.0099897,0,1,0.823,0.823,0.2,0
-0.003228,-0.0099878,0,1,0.824,0.824,0.2,0
-0.0032102,-0.0099859,0,1,0.825,0.825,0.2,0
-0.0031925,-0.009984,0,1,0.826,0.826,0.2,0
-0.0031747,-0.0099821,0,1,0.827,0.827,0.2,0
-0.003157,-0.0099802,0,1,0.828,0.828,0.2,0
-0.0031393,-0.0099783,0,1,0.829,0.829,0.2,0
-0.0031215,-0.0099764,0,1,0.83,0.83,0.2,0
-0.0031038,-0.0099745,0,1,0.831,0.831,0.2,0
-0.003086,-0.0099726,0,1,0.832,0.832,0.2,0
-0.0030683,-0.0099707,0,1,0.833,0.833,0.2,0
-0.0030506,-0.0099689,0,1,0.834,0.834,0.2,0
-0.0030328,-0.009967,0,1,0.835,0.835,0.2,0
-0.0030151,-0.0099651,0,1,0.836,0.836,0.2,0
-0.0029974,-0.0099632,0,1,0.837,0.837,0.2,0
-0.0029796,-0.0099613,0,1,0.838,0.838,0.2,0
-0.0029619,-0.0099594,0,1,0.839,0.839,0.2,0
-0.0029441,-0.0099575,0,1,0.84,0.84,0.2,0
-0.0029264,-0.0099556,0,1,0.841,0.841,0.2,0
-0.0029087,-0.0099537,0,1,0.842,0.842,0.2,0
-0.0028909,-0.0099518,0,1,0.843,0.843,0.2,0
-0.0028732,-0.0099499,0,1,0.844,0.844,0.2,0
-0.0028555,-0.009948,0,1,0.845,0.845,0.2,0
-0.0028377,-0.0099461,0,1,0.846,0.846,0.2,0
-0.00282,-0.0099442,0,1,0.847,0.847,0.2,0
-0.0028022,-0.0099423,0,1,0.848,0.848,0.2,0
-0.0027845,-0.0099405,0,1,0.849,0.849,0.2,0
-0.0027668,-0.0099386,0,1,0.85,0.85,0.2,0
-0.002749,-0.0099367,0,1,0.851,0.851,0.2,0
-0.0027313,-0.0099348,0,1,0.852,0.852,0.2,0
-0.0027136,-0.0099329,0,1,0.853,0.853,0.2,0
-0.0026958,-0.009931,0,1,0.854,0.854,0.2,0
-0.0026781,-0.0099291,0,1,0.855,0.855,0.2,0
-0.0026603,-0.0099272,0,1,0.856,0.856,0.2,0
-0.0026426,-0.0099253,0,1,0.857,0.857,0.2,0
-0.0026249,-0.0099234,0,1,0.858,0.858,0.2,0
-0.0026071,-0.0099215,0,1,0.859,0.859,0.2,0
-0.0025894,-0.0099196,0,1,0.86,0.86,0.2,0
-0.0025717,-0.0099177,0,1,0.861,0.861,0.2,0
-0.0025539,-0.0099158,0,1,0.862,0.862,0.2,0
-0.0025362,-0.0099139,0,1,0.863,0.863,0.2,0
-0.0025184,-0.0099121,0,1,0.864,0.864,0.2,0
-0.0025007,-0.0099102,0,1,0.865,0.865,0.2,0
-0.002483,-0.0099083,0,1,0.866,0.866,0.2,0
-0.0024652,-0.0099064,0,1,0.867,0.867,0.2,0
-0.0024475,-0.0099045,0,1,0.868,0.868,0.2,0
-0.0024297,-0.0099026,0,1,0.869,0.869,0.2,0
-0.002412,-0.0099007,0,1,0.87,0.87,0.2,0
-0.0023943,-0.0098988,0,1,0.871,0.871,0.2,0
-0.0023765,-0.0098969,0,1,0.872,0.872,0.2,0
-0.0023588,-0.009895,0,1,0.873,0.873,0.2,0
-0.0023411,-0.0098931,0,1,0.874,0.874,0.2,0
-0.0023233,-0.0098912,0,1,0.875,0.875,0.2,0
-0.0023056,-0.0098893,0,1,0.876,0.876,0.2,0
-0.0022878,-0.0098874,0,1,0.877,0.877,0.2,0
-0.0022701,-0.0098855,0,1,0.878,0.878,0.2,0
-0.0022524,-0.0098837,0,1,0.879,0.879,0.2,0
-0.0022346,-0.0098818,0,1,0.88,0.88,0.2,0
-0.0022169,-0.0098799,0,1,0.881,0.881,0.2,0
-0.0021992,-0.009878,0,1,0.882,0.882,0.2,0
-0.0021814,-0.0098761,0,1,0.883,0.883,0.2,0
-0.0021637,-0.0098742,0,1,0.884,0.884,0.2,0
-0.0021459,-0.0098723,0,1,0.885,0.885,0.2,0
-0.0021282,-0.0098704,0,1,0.886,0.886,0.2,0
-0.0021105,-0.0098685,0,1,0.887,0.887,0.2,0
-0.0020927,-0.0098666,0,1,0.888,0.888,0.2,0
-0.002075,-0.0098647,0,1,0.889,0.889,0.2,0
-0.0020573,-0.0098628,0,1,0.89,0.89,0.2,0
-0.0020395,-0.0098609,0,1,0.891,0.891,0.2,0
-0.0020211,-0.0098598,0,1,0.892,0.892,0.2,0
-0.0020024,-0.0098591,0,1,0.893,0.893,0.2,0
-0.0019837,-0.0098584,0,1,0.894,0.894,0.2,0
-0.001965,-0.0098576,0,1,0.895,0.895,0.2,0
-0.0019463,-0.0098569,0,1,0.896,0.896,0.2,0
-0.0019275,-0.0098562,0,1,0.897,0.897,0.2,0
-0.0019088,-0.0098554,0,1,0.898,0.898,0.2,0
-0.0018901,-0.0098547,0,1,0.899,0.899,0.2,0
-0.0018714,-0.009854,0,1,0.9,0.9,0.2,0
-0.0018527,-0.0098532,0,1,0.901,0.901,0.2,0
-0.001834,-0.0098525,0,1,0.902,0.902,0.2,0
-0.0018153,-0.0098518,0,1,0.903,0.903,0.2,0
-0.0017965,-0.009851,0,1,0.904,0.904,0.2,0
-0.0017778,-0.0098503,0,1,0.905,0.905,0.2,0
-0.0017591,-0.0098496,0,1,0.906,0.906,0.2,0
-0.0017404,-0.0098488,0,1,0.907,0.907,0.2,0
-0.0017217,-0.0098481,0,1,0.908,0.908,0.2,0
-0.001703,-0.0098474,0,1,0.909,0.909,0.2,0
-0.0016843,-0.0098466,0,1,0.91,0.91,0.2,0
-0.0016655,-0.0098459,0,1,0.911,0.911,0.2,0
-0.0016468,-0.0098452,0,1,0.912,0.912,0.2,0
-0.0016281,-0.0098444,0,1,0.913,0.913,0.2,0
-0.0016094,-0.0098437,0,1,0.914,0.914,0.2,0
-0.0015907,-0.009843,0,1,0.915,0.915,0.2,0
-0.001572,-0.0098422,0,1,0.916,0.916,0.2,0
-0.0015533,-0.0098415,0,1,0.917,0.917,0.2,0
-0.0015346,-0.0098408,0,1,0.918,0.918,0.2,0
-0.0015158,-0.00984,0,1,0.919,0.919,0.2,0
