"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,-0.051165,0,1,0,0,1,0
-2.2393e-05,-0.051163,0,1,0.001,0.001,1,0
-4.4786e-05,-0.051161,0,1,0.002,0.002,1,0
-6.7178e-05,-0.051158,0,1,0.003,0.003,1,0
-8.9571e-05,-0.051156,0,1,0.004,0.004,1,0
-0.00011196,-0.051154,0,1,0.005,0.005,1,0
-0.00013436,-0.051151,0,1,0.006,0.006,1,0
-0.00015675,-0.051149,0,1,0.007,0.007,1,0
-0.00017914,-0.051147,0,1,0.008,0.008,1,0
-0.00020153,-0.051144,0,1,0.009,0.009,1,0
-0.00022393,-0.051142,0,1,0.01,0.01,1,0
-0.00024632,-0.05114,0,1,0.011,0.011,1,0
-0.00026871,-0.051138,0,1,0.012,0.012,1,0
-0.00029111,-0.051135,0,1,0.013,0.013,1,0
-0.0003135,-0.051133,0,1,0.014,0.014,1,0
-0.00033589,-0.051131,0,1,0.015,0.015,1,0
-0.00035828,-0.051128,0,1,0.016,0.016,1,0
-0.00038068,-0.051126,0,1,0.017,0.017,1,0
-0.00040307,-0.051124,0,1,0.018,0.018,1,0
-0.00042546,-0.051121,0,1,0.019,0.019,1,0
-0.00044786,-0.051119,0,1,0.02,0.02,1,0
-0.00047025,-0.051117,0,1,0.021,0.021,1,0
-0.00049264,-0.051115,0,1,0.022,0.022,1,0
-0.00051503,-0.051112,0,1,0.023,0.023,1,0
-0.00053743,-0.05111,0,1,0.024,0.024,1,0
-0.00055982,-0.051108,0,1,0.025,0.025,1,0
-0.00058221,-0.051105,0,1,0.026,0.026,1,0
-0.0006046,-0.051103,0,1,0.027,0.027,1,0
-0.000627,-0.051101,0,1,0.028,0.028,1,0
-0.00064939,-0.051098,0,1,0.029,0.029,1,0
-0.00067178,-0.051096,0,1,0.03,0.03,1,0
-0.00069418,-0.051094,0,1,0.031,0.031,1,0
-0.00071657,-0.051091,0,1,0.032,0.032,1,0
-0.00073896,-0.051089,0,1,0.033,0.033,1,0
-0.00076135,-0.051087,0,1,0.034,0.034,1,0
-0.00078375,-0.051085,0,1,0.035,0.035,1,0
-0.00080614,-0.051082,0,1,0.036,0.036,1,0
-0.00082853,-0.05108,0,1,0.037,0.037,1,0
-0.00085092,-0.051078,0,1,0.038,0.038,1,0
-0.00087332,-0.051075,0,1,0.039,0.039,1,0
-0.00089571,-0.051073,0,1,0.04,0.04,1,0
-0.0009181,-0.051071,0,1,0.041,0.041,1,0
-0.0009405,-0.051068,0,1,0.042,0.042,1,0
-0.00096289,-0.051066,0,1,0.043,0.043,1,0
-0.00098528,-0.051064,0,1,0.044,0.044,1,0
-0.0010077,-0.051061,0,1,0.045,0.045,1,0
-0.0010301,-0.051059,0,1,0.046,0.046,1,0
-0.0010525,-0.051057,0,1,0.047,0.047,1,0
-0.0010749,-0.051055,0,1,0.048,0.048,1,0
-0.0010972,-0.051052,0,1,0.049,0.049,1,0
-0.0011196,-0.05105,0,1,0.05,0.05,1,0
-0.001142,-0.051048,0,1,0.051,0.051,1,0
-0.0011644,-0.051045,0,1,0.052,0.052,1,0
-0.0011868,-0.051043,0,1,0.053,0.053,1,0
-0.0012092,-0.051041,0,1,0.054,0.054,1,0
-0.0012305,-0.051034,0,1,0.055,0.055,1,0
-0.0012518,-0.051028,0,1,0.056,0.056,1,0
-0.0012732,-0.051021,0,1,0.057,0.057,1,0
-0.0012945,-0.051014,0,1,0.058,0.058,1,0
-0.0013158,-0.051008,0,1,0.059,0.059,1,0
-0.0013372,-0.051001,0,1,0.06,0.06,1,0
-0.0013585,-0.050995,0,1,0.061,0.061,1,0
-0.0013798,-0.050988,0,1,0.062,0.062,1,0
-0.0014011,-0.050982,0,1,0.063,0.063,1,0
-0.0014225,-0.050975,0,1,0.064,0.064,1,0
-0.0014438,-0.050969,0,1,0.065,0.065,1,0
-0.0014651,-0.050962,0,1,0.066,0.066,1,0
-0.0014865,-0.050956,0,1,0.067,0.067,1,0
-0.0015078,-0.050949,0,1,0.068,0.068,1,0
-0.0015291,-0.050943,0,1,0.069,0.069,1,0
-0.0015505,-0.050936,0,1,0.07,0.07,1,0
-0.0015718,-0.05093,0,1,0.071,0.071,1,0
-0.0015931,-0.050923,0,1,0.072,0.072,1,0
-0.0016145,-0.050917,0,1,0.073,0.073,1,0
-0.0016358,-0.05091,0,1,0.074,0.074,1,0
-0.0016571,-0.050904,0,1,0.075,0.075,1,0
-0.0016784,-0.050897,0,1,0.076,0.076,1,0
-0.0016998,-0.05089,0,1,0.077,0.077,1,0
-0.0017211,-0.050884,0,1,0.078,0.078,1,0
-0.0017424,-0.050877,0,1,0.079,0.079,1,0
-0.0017638,-0.050871,0,1,0.08,0.08,1,0
-0.0017851,-0.050864,0,1,0.081,0.081,1,0
-0.0018064,-0.050858,0,1,0.082,0.082,1,0
-0.0018278,-0.050851,0,1,0.083,0.083,1,0
-0.0018491,-0.050845,0,1,0.084,0.084,1,0
-0.0018704,-0.050838,0,1,0.085,0.085,1,0
-0.0018918,-0.050832,0,1,0.086,0.086,1,0
-0.0019131,-0.050825,0,1,0.087,0.087,1,0
-0.0019344,-0.050819,0,1,0.088,0.088,1,0
-0.0019557,-0.050812,0,1,0.089,0.089,1,0
