"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,-0.097183,0,1,0,0,1,0
-0.00068591,-0.097115,0,1,0.05,0.05,1,0
-0.001344,-0.096928,0,1,0.1,0.1,1,0
-0.0019533,-0.096635,0,1,0.15,0.15,1,0
-0.0025027,-0.096254,0,1,0.2,0.2,1,0
-0.0029947,-0.095801,0,1,0.25,0.25,1,0
-0.0033565,-0.095259,0,1,0.3,0.3,1,0
-0.0036475,-0.094689,0,1,0.35,0.35,1,0
-0.0038386,-0.094081,0,1,0.4,0.4,1,0
-0.0039088,-0.093468,0,1,0.45,0.45,1,0
-0.0039201,-0.092851,0,1,0.5,0.5,1,0
-0.0037887,-0.092269,0,1,0.55,0.55,1,0
-0.0036123,-0.091697,0,1,0.6,0.6,1,0
-0.0033269,-0.091193,0,1,0.65,0.65,1,0
-0.0029846,-0.090723,0,1,0.7,0.7,1,0
-0.0025964,-0.090307,0,1,0.75,0.75,1,0
-0.0021208,-0.089992,0,1,0.8,0.8,1,0
-0.0016452,-0.089677,0,1,0.85,0.85,1,0
-0.0011072,-0.089524,0,1,0.9,0.9,1,0
-0.0005536,-0.089411,0,1,0.95,0.95,1,0
0,-0.089297,0,1,1,1,1,0
