"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,-0.01983,0,1,0,0,0.2,0
-0.00064113,-0.019875,0,1,0.05,0.05,0.2,0
-0.0011992,-0.019973,0,1,0.1,0.1,0.2,0
-0.0016506,-0.020079,0,1,0.15,0.15,0.2,0
-0.0019844,-0.020168,0,1,0.2,0.2,0.2,0
-0.0022292,-0.020228,0,1,0.25,0.25,0.2,0
-0.002393,-0.020261,0,1,0.3,0.3,0.2,0
-0.0024837,-0.020267,0,1,0.35,0.35,0.2,0
-0.0025099,-0.020253,0,1,0.4,0.4,0.2,0
-0.002478,-0.020221,0,1,0.45,0.45,0.2,0
-0.0023989,-0.020177,0,1,0.5,0.5,0.2,0
-0.0022829,-0.020129,0,1,0.55,0.55,0.2,0
-0.0021146,-0.020072,0,1,0.6,0.6,0.2,0
-0.0019185,-0.020016,0,1,0.65,0.65,0.2,0
-0.0017022,-0.01996,0,1,0.7,0.7,0.2,0
-0.0014469,-0.019911,0,1,0.75,0.75,0.2,0
-0.0011849,-0.019865,0,1,0.8,0.8,0.2,0
-0.00089738,-0.019831,0,1,0.85,0.85,0.2,0
-0.00060705,-0.019802,0,1,0.9,0.9,0.2,0
-0.00030353,-0.019791,0,1,0.95,0.95,0.2,0
0,-0.01978,0,1,1,1,0.2,0
