"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,-0.066072,0,1,0,0,0.5,0
-0.00027909,-0.066044,0,1,0.05,0.05,0.5,0
-0.00051898,-0.065975,0,1,0.1,0.1,0.5,0
-0.00070715,-0.065886,0,1,0.15,0.15,0.5,0
-0.00083758,-0.065781,0,1,0.2,0.2,0.5,0
-0.00092896,-0.065673,0,1,0.25,0.25,0.5,0
-0.00098588,-0.065562,0,1,0.3,0.3,0.5,0
-0.0010134,-0.065451,0,1,0.35,0.35,0.5,0
-0.0010151,-0.065337,0,1,0.4,0.4,0.5,0
-0.00099581,-0.065225,0,1,0.45,0.45,0.5,0
-0.0009592,-0.065115,0,1,0.5,0.5,0.5,0
-0.00090847,-0.065009,0,1,0.55,0.55,0.5,0
-0.00083927,-0.064911,0,1,0.6,0.6,0.5,0
-0.00076005,-0.06482,0,1,0.65,0.65,0.5,0
-0.00067356,-0.064733,0,1,0.7,0.7,0.5,0
-0.00057317,-0.064665,0,1,0.75,0.75,0.5,0
-0.00047001,-0.064601,0,1,0.8,0.8,0.5,0
-0.00035565,-0.064558,0,1,0.85,0.85,0.5,0
-0.00024028,-0.06452,0,1,0.9,0.9,0.5,0
-0.00012014,-0.064503,0,1,0.95,0.95,0.5,0
0,-0.064485,0,1,1,1,0.5,0
