"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,-0.02083,0,1,0,0,0.2,0
-1.9915e-05,-0.02083,0,1,0.001,0.001,0.2,0
-3.9831e-05,-0.020831,0,1,0.002,0.002,0.2,0
-5.9746e-05,-0.020831,0,1,0.003,0.003,0.2,0
-7.9661e-05,-0.020831,0,1,0.004,0.004,0.2,0
-9.9576e-05,-0.020832,0,1,0.005,0.005,0.2,0
-0.00011949,-0.020832,0,1,0.006,0.006,0.2,0
-0.00013941,-0.020833,0,1,0.007,0.007,0.2,0
-0.00015932,-0.020833,0,1,0.008,0.008,0.2,0
-0.00017924,-0.020834,0,1,0.009,0.009,0.2,0
-0.00019915,-0.020834,0,1,0.01,0.01,0.2,0
-0.00021907,-0.020834,0,1,0.011,0.011,0.2,0
-0.00023898,-0.020835,0,1,0.012,0.012,0.2,0
-0.0002589,-0.020835,0,1,0.013,0.013,0.2,0
-0.00027881,-0.020836,0,1,0.014,0.014,0.2,0
-0.00029873,-0.020836,0,1,0.015,0.015,0.2,0
-0.00031864,-0.020837,0,1,0.016,0.016,0.2,0
-0.00033856,-0.020837,0,1,0.017,0.017,0.2,0
-0.00035848,-0.020837,0,1,0.018,0.018,0.2,0
-0.00037839,-0.020838,0,1,0.019,0.019,0.2,0
-0.00039821,-0.020838,0,1,0.02,0.02,0.2,0
-0.00041791,-0.020839,0,1,0.021,0.021,0.2,0
-0.0004376,-0.020839,0,1,0.022,0.022,0.2,0
-0.0004573,-0.02084,0,1,0.023,0.023,0.2,0
-0.000477,-0.02084,0,1,0.024,0.024,0.2,0
-0.0004967,-0.02084,0,1,0.025,0.025,0.2,0
-0.0005164,-0.020841,0,1,0.026,0.026,0.2,0
-0.0005361,-0.020841,0,1,0.027,0.027,0.2,0
-0.00055579,-0.020842,0,1,0.028,0.028,0.2,0
-0.00057549,-0.020842,0,1,0.029,0.029,0.2,0
-0.00059519,-0.020843,0,1,0.03,0.03,0.2,0
-0.00061489,-0.020843,0,1,0.031,0.031,0.2,0
-0.00063459,-0.020844,0,1,0.032,0.032,0.2,0
-0.00065429,-0.020844,0,1,0.033,0.033,0.2,0
-0.00067398,-0.020845,0,1,0.034,0.034,0.2,0
-0.00069368,-0.020845,0,1,0.035,0.035,0.2,0
-0.00071338,-0.020845,0,1,0.036,0.036,0.2,0
-0.00073308,-0.020846,0,1,0.037,0.037,0.2,0
-0.00075278,-0.020846,0,1,0.038,0.038,0.2,0
-0.00077247,-0.020847,0,1,0.039,0.039,0.2,0
-0.00079217,-0.020847,0,1,0.04,0.04,0.2,0
-0.00081187,-0.020848,0,1,0.041,0.041,0.2,0
-0.0008308,-0.020848,0,1,0.042,0.042,0.2,0
-0.0008497,-0.020849,0,1,0.043,0.043,0.2,0
-0.00086859,-0.02085,0,1,0.044,0.044,0.2,0
-0.00088749,-0.020851,0,1,0.045,0.045,0.2,0
-0.00090638,-0.020851,0,1,0.046,0.046,0.2,0
-0.00092527,-0.020852,0,1,0.047,0.047,0.2,0
-0.00094417,-0.020853,0,1,0.048,0.048,0.2,0
-0.00096306,-0.020853,0,1,0.049,0.049,0.2,0
-0.00098196,-0.020854,0,1,0.05,0.05,0.2,0
-0.0010009,-0.020855,0,1,0.051,0.051,0.2,0
-0.0010197,-0.020855,0,1,0.052,0.052,0.2,0
-0.0010386,-0.020856,0,1,0.053,0.053,0.2,0
-0.0010575,-0.020857,0,1,0.054,0.054,0.2,0
-0.0010764,-0.020858,0,1,0.055,0.055,0.2,0
-0.0010953,-0.020858,0,1,0.056,0.056,0.2,0
-0.0011142,-0.020859,0,1,0.057,0.057,0.2,0
-0.0011331,-0.02086,0,1,0.058,0.058,0.2,0
-0.001152,-0.02086,0,1,0.059,0.059,0.2,0
-0.0011709,-0.020861,0,1,0.06,0.06,0.2,0
-0.0011898,-0.020862,0,1,0.061,0.061,0.2,0
-0.0012087,-0.020862,0,1,0.062,0.062,0.2,0
-0.0012276,-0.020863,0,1,0.063,0.063,0.2,0
-0.0012465,-0.020864,0,1,0.064,0.064,0.2,0
-0.001265,-0.020865,0,1,0.065,0.065,0.2,0
-0.0012827,-0.020865,0,1,0.066,0.066,0.2,0
-0.0013003,-0.020866,0,1,0.067,0.067,0.2,0
-0.001318,-0.020867,0,1,0.068,0.068,0.2,0
-0.0013357,-0.020868,0,1,0.069,0.069,0.2,0
-0.0013533,-0.020868,0,1,0.07,0.07,0.2,0
-0.001371,-0.020869,0,1,0.071,0.071,0.2,0
-0.0013887,-0.02087,0,1,0.072,0.072,0.2,0
-0.0014063,-0.020871,0,1,0.073,0.073,0.2,0
-0.001424,-0.020871,0,1,0.074,0.074,0.2,0
-0.0014417,-0.020872,0,1,0.075,0.075,0.2,0
-0.0014593,-0.020873,0,1,0.076,0.076,0.2,0
-0.001477,-0.020874,0,1,0.077,0.077,0.2,0
-0.0014946,-0.020874,0,1,0.078,0.078,0.2,0
-0.0015123,-0.020875,0,1,0.079,0.079,0.2,0
-0.00153,-0.020876,0,1,0.08,0.08,0.2,0
-0.0015476,-0.020877,0,1,0.081,0.081,0.2,0
-0.0015653,-0.020877,0,1,0.082,0.082,0.2,0
-0.001583,-0.020878,0,1,0.083,0.083,0.2,0
-0.0016006,-0.020879,0,1,0.084,0.084,0.2,0
-0.0016183,-0.02088,0,1,0.085,0.085,0.2,0
-0.001636,-0.02088,0,1,0.086,0.086,0.2,0
-0.0016536,-0.020881,0,1,0.087,0.087,0.2,0
-0.0016713,-0.020882,0,1,0.088,0.088,0.2,0
-0.001689,-0.020883,0,1,0.089,0.089,0.2,0
-0.0017066,-0.020883,0,1,0.09,0.09,0.2,0
-0.0017239,-0.020884,0,1,0.091,0.091,0.2,0
-0.00174,-0.020885,0,1,0.092,0.092,0.2,0
-0.0017561,-0.020886,0,1,0.093,0.093,0.2,0
-0.0017722,-0.020886,0,1,0.094,0.094,0.2,0
-0.0017883,-0.020887,0,1,0.095,0.095,0.2,0
-0.0018044,-0.020888,0,1,0.096,0.096,0.2,0
-0.0018205,-0.020889,0,1,0.097,0.097,0.2,0
-0.0018366,-0.020889,0,1,0.098,0.098,0.2,0
-0.0018527,-0.02089,0,1,0.099,0.099,0.2,0
-0.0018688,-0.020891,0,1,0.1,0.1,0.2,0
-0.0018849,-0.020891,0,1,0.101,0.101,0.2,0
-0.001901,-0.020892,0,1,0.102,0.102,0.2,0
-0.0019171,-0.020893,0,1,0.103,0.103,0.2,0
-0.0019332,-0.020894,0,1,0.104,0.104,0.2,0
-0.0019493,-0.020894,0,1,0.105,0.105,0.2,0
