pressure,x
1.086722897530091,0.0
1.0851508787814552,0.05
1.0803641028378317,0.1
1.0721533390449143,0.15000000000000002
1.0601797002216171,0.2
1.0439895953095362,0.25
1.023035955961395,0.30000000000000004
0.9967057686451065,0.35000000000000003
0.9643536294979024,0.4
0.9253405633873987,0.45
0.8790767533072711,0.5
0.8250661833194608,0.55
0.7629506017332803,0.6000000000000001
0.6925497645264416,0.65
0.6138947194018501,0.7000000000000001
0.5272510127640586,0.75
0.4331291820589567,0.8
0.3322807231649673,0.8500000000000001
0.22567883430845445,0.9
0.1144845251979909,0.9500000000000001
0.0,1.0
