"f_381-2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0323,1,0,0,0.025,0
1.0325,1,0.05,0.05,0.025,0
1.0331,1,0.1,0.1,0.025,0
1.0343,1,0.15,0.15,0.025,0
1.0352,1,0.2,0.2,0.025,0
1.0359,1,0.25,0.25,0.025,0
1.038,1,0.3,0.3,0.025,0
1.0405,1,0.35,0.35,0.025,0
1.0431,1,0.4,0.4,0.025,0
1.0447,1,0.45,0.45,0.025,0
1.0454,1,0.5,0.5,0.025,0
1.0468,1,0.55,0.55,0.025,0
1.0457,1,0.6,0.6,0.025,0
1.0423,1,0.65,0.65,0.025,0
1.029,1,0.7,0.7,0.025,0
1.0207,1,0.75,0.75,0.025,0
0.9779,1,0.8,0.8,0.025,0
0.88384,1,0.85,0.85,0.025,0
0.76902,1,0.9,0.9,0.025,0
0.43979,1,0.95,0.95,0.025,0
0.25748,1,1,1,0.025,0
