"f_10549-1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.60877,1,0.722,0.722,0.5,0
0.60701,1,0.723,0.723,0.5,0
0.60525,1,0.724,0.724,0.5,0
0.60348,1,0.725,0.725,0.5,0
0.60172,1,0.726,0.726,0.5,0
0.59996,1,0.727,0.727,0.5,0
0.5982,1,0.728,0.728,0.5,0
0.59644,1,0.729,0.729,0.5,0
0.59462,1,0.73,0.73,0.5,0
0.59278,1,0.731,0.731,0.5,0
0.59094,1,0.732,0.732,0.5,0
0.5891,1,0.733,0.733,0.5,0
0.58727,1,0.734,0.734,0.5,0
0.58543,1,0.735,0.735,0.5,0
0.58359,1,0.736,0.736,0.5,0
0.58175,1,0.737,0.737,0.5,0
0.57992,1,0.738,0.738,0.5,0
0.57808,1,0.739,0.739,0.5,0
0.57624,1,0.74,0.74,0.5,0
0.5744,1,0.741,0.741,0.5,0
0.57257,1,0.742,0.742,0.5,0
0.57073,1,0.743,0.743,0.5,0
0.56889,1,0.744,0.744,0.5,0
0.56705,1,0.745,0.745,0.5,0
0.56521,1,0.746,0.746,0.5,0
0.56338,1,0.747,0.747,0.5,0
0.56154,1,0.748,0.748,0.5,0
0.5597,1,0.749,0.749,0.5,0
0.55786,1,0.75,0.75,0.5,0
0.55595,1,0.751,0.751,0.5,0
0.55404,1,0.752,0.752,0.5,0
0.55213,1,0.753,0.753,0.5,0
0.55022,1,0.754,0.754,0.5,0
0.54831,1,0.755,0.755,0.5,0
0.54639,1,0.756,0.756,0.5,0
0.54448,1,0.757,0.757,0.5,0
0.54257,1,0.758,0.758,0.5,0
0.54066,1,0.759,0.759,0.5,0
0.53875,1,0.76,0.76,0.5,0
0.53684,1,0.761,0.761,0.5,0
0.53492,1,0.762,0.762,0.5,0
0.53301,1,0.763,0.763,0.5,0
0.5311,1,0.764,0.764,0.5,0
0.52919,1,0.765,0.765,0.5,0
0.52728,1,0.766,0.766,0.5,0
0.52536,1,0.767,0.767,0.5,0
0.52345,1,0.768,0.768,0.5,0
0.52154,1,0.769,0.769,0.5,0
0.51963,1,0.77,0.77,0.5,0
0.5177,1,0.771,0.771,0.5,0
0.51572,1,0.772,0.772,0.5,0
0.51374,1,0.773,0.773,0.5,0
0.51175,1,0.774,0.774,0.5,0
0.50977,1,0.775,0.775,0.5,0
0.50779,1,0.776,0.776,0.5,0
0.5058,1,0.777,0.777,0.5,0
0.50382,1,0.778,0.778,0.5,0
0.50184,1,0.779,0.779,0.5,0
0.49985,1,0.78,0.78,0.5,0
0.49787,1,0.781,0.781,0.5,0
0.49589,1,0.782,0.782,0.5,0
0.4939,1,0.783,0.783,0.5,0
0.49192,1,0.784,0.784,0.5,0
0.48994,1,0.785,0.785,0.5,0
0.48795,1,0.786,0.786,0.5,0
0.48597,1,0.787,0.787,0.5,0
0.48399,1,0.788,0.788,0.5,0
0.482,1,0.789,0.789,0.5,0
0.48002,1,0.79,0.79,0.5,0
0.47804,1,0.791,0.791,0.5,0
0.47603,1,0.792,0.792,0.5,0
0.47398,1,0.793,0.793,0.5,0
0.47192,1,0.794,0.794,0.5,0
0.46987,1,0.795,0.795,0.5,0
0.46782,1,0.796,0.796,0.5,0
0.46577,1,0.797,0.797,0.5,0
0.46372,1,0.798,0.798,0.5,0
0.46166,1,0.799,0.799,0.5,0
0.45961,1,0.8,0.8,0.5,0
0.45756,1,0.801,0.801,0.5,0
0.45551,1,0.802,0.802,0.5,0
0.45346,1,0.803,0.803,0.5,0
0.4514,1,0.804,0.804,0.5,0
0.44935,1,0.805,0.805,0.5,0
0.4473,1,0.806,0.806,0.5,0
0.44525,1,0.807,0.807,0.5,0
0.4432,1,0.808,0.808,0.5,0
0.44114,1,0.809,0.809,0.5,0
0.43909,1,0.81,0.81,0.5,0
0.43704,1,0.811,0.811,0.5,0
0.43499,1,0.812,0.812,0.5,0
0.4329,1,0.813,0.813,0.5,0
0.43079,1,0.814,0.814,0.5,0
0.42867,1,0.815,0.815,0.5,0
0.42655,1,0.816,0.816,0.5,0
0.42444,1,0.817,0.817,0.5,0
0.42232,1,0.818,0.818,0.5,0
0.4202,1,0.819,0.819,0.5,0
0.41808,1,0.82,0.82,0.5,0
0.41597,1,0.821,0.821,0.5,0
0.41385,1,0.822,0.822,0.5,0
0.41173,1,0.823,0.823,0.5,0
0.40962,1,0.824,0.824,0.5,0
0.4075,1,0.825,0.825,0.5,0
0.40538,1,0.826,0.826,0.5,0
0.40327,1,0.827,0.827,0.5,0
0.40115,1,0.828,0.828,0.5,0
0.39903,1,0.829,0.829,0.5,0
0.39691,1,0.83,0.83,0.5,0
0.3948,1,0.831,0.831,0.5,0
0.39268,1,0.832,0.832,0.5,0
0.39056,1,0.833,0.833,0.5,0
0.38841,1,0.834,0.834,0.5,0
0.38623,1,0.835,0.835,0.5,0
0.38405,1,0.836,0.836,0.5,0
0.38187,1,0.837,0.837,0.5,0
0.37969,1,0.838,0.838,0.5,0
0.37752,1,0.839,0.839,0.5,0
0.37534,1,0.84,0.84,0.5,0
0.37316,1,0.841,0.841,0.5,0
0.37098,1,0.842,0.842,0.5,0
0.3688,1,0.843,0.843,0.5,0
0.36663,1,0.844,0.844,0.5,0
0.36445,1,0.845,0.845,0.5,0
0.36227,1,0.846,0.846,0.5,0
0.36009,1,0.847,0.847,0.5,0
0.35791,1,0.848,0.848,0.5,0
0.35574,1,0.849,0.849,0.5,0
0.35356,1,0.85,0.85,0.5,0
0.35138,1,0.851,0.851,0.5,0
0.3492,1,0.852,0.852,0.5,0
0.34702,1,0.853,0.853,0.5,0
0.34485,1,0.854,0.854,0.5,0
0.34262,1,0.855,0.855,0.5,0
0.34039,1,0.856,0.856,0.5,0
0.33815,1,0.857,0.857,0.5,0
0.33592,1,0.858,0.858,0.5,0
0.33368,1,0.859,0.859,0.5,0
0.33145,1,0.86,0.86,0.5,0
0.32921,1,0.861,0.861,0.5,0
0.32698,1,0.862,0.862,0.5,0
0.32475,1,0.863,0.863,0.5,0
0.32251,1,0.864,0.864,0.5,0
0.32028,1,0.865,0.865,0.5,0
0.31804,1,0.866,0.866,0.5,0
0.31581,1,0.867,0.867,0.5,0
0.31357,1,0.868,0.868,0.5,0
0.31134,1,0.869,0.869,0.5,0
0.3091,1,0.87,0.87,0.5,0
0.30687,1,0.871,0.871,0.5,0
0.30464,1,0.872,0.872,0.5,0
0.3024,1,0.873,0.873,0.5,0
0.30017,1,0.874,0.874,0.5,0
0.29793,1,0.875,0.875,0.5,0
0.29565,1,0.876,0.876,0.5,0
0.29336,1,0.877,0.877,0.5,0
0.29107,1,0.878,0.878,0.5,0
0.28879,1,0.879,0.879,0.5,0
0.2865,1,0.88,0.88,0.5,0
0.28422,1,0.881,0.881,0.5,0
0.28193,1,0.882,0.882,0.5,0
0.27964,1,0.883,0.883,0.5,0
0.27736,1,0.884,0.884,0.5,0
0.27507,1,0.885,0.885,0.5,0
0.27278,1,0.886,0.886,0.5,0
0.2705,1,0.887,0.887,0.5,0
0.26821,1,0.888,0.888,0.5,0
0.26593,1,0.889,0.889,0.5,0
0.26364,1,0.89,0.89,0.5,0
0.26135,1,0.891,0.891,0.5,0
0.25907,1,0.892,0.892,0.5,0
0.25678,1,0.893,0.893,0.5,0
0.2545,1,0.894,0.894,0.5,0
0.25221,1,0.895,0.895,0.5,0
0.24992,1,0.896,0.896,0.5,0
0.24758,1,0.897,0.897,0.5,0
0.24525,1,0.898,0.898,0.5,0
0.24292,1,0.899,0.899,0.5,0
0.24058,1,0.9,0.9,0.5,0
0.23825,1,0.901,0.901,0.5,0
0.23592,1,0.902,0.902,0.5,0
0.23359,1,0.903,0.903,0.5,0
0.23125,1,0.904,0.904,0.5,0
0.22892,1,0.905,0.905,0.5,0
0.22659,1,0.906,0.906,0.5,0
0.22426,1,0.907,0.907,0.5,0
0.22192,1,0.908,0.908,0.5,0
0.21959,1,0.909,0.909,0.5,0
0.21726,1,0.91,0.91,0.5,0
0.21493,1,0.911,0.911,0.5,0
0.21259,1,0.912,0.912,0.5,0
0.21026,1,0.913,0.913,0.5,0
0.20793,1,0.914,0.914,0.5,0
0.2056,1,0.915,0.915,0.5,0
0.20326,1,0.916,0.916,0.5,0
0.20092,1,0.917,0.917,0.5,0
0.19854,1,0.918,0.918,0.5,0
0.19617,1,0.919,0.919,0.5,0
0.1938,1,0.92,0.92,0.5,0
0.19142,1,0.921,0.921,0.5,0
0.18905,1,0.922,0.922,0.5,0
0.18667,1,0.923,0.923,0.5,0
0.1843,1,0.924,0.924,0.5,0
0.18193,1,0.925,0.925,0.5,0
0.17955,1,0.926,0.926,0.5,0
0.17718,1,0.927,0.927,0.5,0
0.17481,1,0.928,0.928,0.5,0
0.17243,1,0.929,0.929,0.5,0
0.17006,1,0.93,0.93,0.5,0
0.16769,1,0.931,0.931,0.5,0
0.16531,1,0.932,0.932,0.5,0
0.16294,1,0.933,0.933,0.5,0
0.16056,1,0.934,0.934,0.5,0
0.15819,1,0.935,0.935,0.5,0
0.15582,1,0.936,0.936,0.5,0
0.15344,1,0.937,0.937,0.5,0
0.15105,1,0.938,0.938,0.5,0
0.14864,1,0.939,0.939,0.5,0
0.14623,1,0.94,0.94,0.5,0
0.14383,1,0.941,0.941,0.5,0
0.14142,1,0.942,0.942,0.5,0
0.13901,1,0.943,0.943,0.5,0
0.1366,1,0.944,0.944,0.5,0
0.13419,1,0.945,0.945,0.5,0
0.13178,1,0.946,0.946,0.5,0
0.12937,1,0.947,0.947,0.5,0
0.12696,1,0.948,0.948,0.5,0
0.12456,1,0.949,0.949,0.5,0
0.12215,1,0.95,0.95,0.5,0
0.11974,1,0.951,0.951,0.5,0
0.11733,1,0.952,0.952,0.5,0
0.11492,1,0.953,0.953,0.5,0
0.11251,1,0.954,0.954,0.5,0
0.1101,1,0.955,0.955,0.5,0
0.10769,1,0.956,0.956,0.5,0
0.10528,1,0.957,0.957,0.5,0
0.10288,1,0.958,0.958,0.5,0
0.10045,1,0.959,0.959,0.5,0
0.098009,1,0.96,0.96,0.5,0
0.09557,1,0.961,0.961,0.5,0
0.093132,1,0.962,0.962,0.5,0
0.090694,1,0.963,0.963,0.5,0
0.088256,1,0.964,0.964,0.5,0
0.085818,1,0.965,0.965,0.5,0
