"f_1372-0:0","f_1372-0:1","f_1372-0:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.8007e-10,0,0,1,0,0.5,0,0
-1.9786e-10,-1.3582e-05,0,1,0.25,0.5,0.25,0
-2.557e-10,-2.7175e-05,0,1,0.5,0.5,0.5,0
-3.3845e-10,-4.079e-05,0,1,0.75,0.5,0.75,0
-4.3306e-10,-5.4438e-05,0,1,1,0.5,1,0
-5.3279e-10,-6.8132e-05,0,1,1.25,0.5,1.25,0
-6.3439e-10,-8.188e-05,0,1,1.5,0.5,1.5,0
-7.3625e-10,-9.5696e-05,0,1,1.75,0.5,1.75,0
-8.3756e-10,-0.00010959,0,1,2,0.5,2,0
-9.3784e-10,-0.00012357,0,1,2.25,0.5,2.25,0
-1.0368e-09,-0.00013765,0,1,2.5,0.5,2.5,0
-1.1342e-09,-0.00015184,0,1,2.75,0.5,2.75,0
-1.2299e-09,-0.00016614,0,1,3,0.5,3,0
-1.3237e-09,-0.00018058,0,1,3.25,0.5,3.25,0
-1.4155e-09,-0.00019516,0,1,3.5,0.5,3.5,0
-1.5051e-09,-0.00020988,0,1,3.75,0.5,3.75,0
-1.5924e-09,-0.00022476,0,1,4,0.5,4,0
-1.6772e-09,-0.00023981,0,1,4.25,0.5,4.25,0
-1.7595e-09,-0.00025504,0,1,4.5,0.5,4.5,0
-1.839e-09,-0.00027045,0,1,4.75,0.5,4.75,0
-1.9157e-09,-0.00028606,0,1,5,0.5,5,0
-1.9894e-09,-0.00030186,0,1,5.25,0.5,5.25,0
-2.0601e-09,-0.00031788,0,1,5.5,0.5,5.5,0
-2.1275e-09,-0.00033411,0,1,5.75,0.5,5.75,0
-2.1917e-09,-0.00035057,0,1,6,0.5,6,0
-2.2523e-09,-0.00036725,0,1,6.25,0.5,6.25,0
-2.3094e-09,-0.00038417,0,1,6.5,0.5,6.5,0
-2.3625e-09,-0.00040134,0,1,6.75,0.5,6.75,0
-2.4112e-09,-0.00041875,0,1,7,0.5,7,0
-2.4549e-09,-0.00043642,0,1,7.25,0.5,7.25,0
-2.4921e-09,-0.00045435,0,1,7.5,0.5,7.5,0
-2.5202e-09,-0.00047254,0,1,7.75,0.5,7.75,0
-2.5349e-09,-0.00049099,0,1,8,0.5,8,0
-2.5282e-09,-0.00050972,0,1,8.25,0.5,8.25,0
-2.4876e-09,-0.00052872,0,1,8.5,0.5,8.5,0
-2.3949e-09,-0.000548,0,1,8.75,0.5,8.75,0
-2.2323e-09,-0.00056756,0,1,9,0.5,9,0
-2.0098e-09,-0.0005874,0,1,9.25,0.5,9.25,0
-1.867e-09,-0.00060752,0,1,9.5,0.5,9.5,0
-2.3552e-09,-0.00062793,0,1,9.75,0.5,9.75,0
-4.3232e-09,-0.00064862,0,1,10,0.5,10,0
