"f_1372-0:0","f_1372-0:1","f_1372-0:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-4.7829e-16,0,0,1,0,0.5,0,0
-6.1044e-16,-4.5993e-07,0,1,0.25,0.5,0.25,0
-1.1005e-15,-9.1986e-07,0,1,0.5,0.5,0.5,0
-2.1742e-15,-1.3798e-06,0,1,0.75,0.5,0.75,0
-4.3443e-15,-1.8397e-06,0,1,1,0.5,1,0
-8.6533e-15,-2.2996e-06,0,1,1.25,0.5,1.25,0
-1.7135e-14,-2.7596e-06,0,1,1.5,0.5,1.5,0
-3.3701e-14,-3.2195e-06,0,1,1.75,0.5,1.75,0
-6.5787e-14,-3.6794e-06,0,1,2,0.5,2,0
-1.2737e-13,-4.1394e-06,0,1,2.25,0.5,2.25,0
-2.4445e-13,-4.5993e-06,0,1,2.5,0.5,2.5,0
-4.6472e-13,-5.0593e-06,0,1,2.75,0.5,2.75,0
-8.7454e-13,-5.5194e-06,0,1,3,0.5,3,0
-1.6281e-12,-5.9795e-06,0,1,3.25,0.5,3.25,0
-2.9961e-12,-6.4398e-06,0,1,3.5,0.5,3.5,0
-5.4467e-12,-6.9004e-06,0,1,3.75,0.5,3.75,0
-9.7743e-12,-7.3616e-06,0,1,4,0.5,4,0
-1.7302e-11,-7.8238e-06,0,1,4.25,0.5,4.25,0
-3.0187e-11,-8.2878e-06,0,1,4.5,0.5,4.5,0
-5.1872e-11,-8.7551e-06,0,1,4.75,0.5,4.75,0
-8.7714e-11,-9.2279e-06,0,1,5,0.5,5,0
-1.4583e-10,-9.71e-06,0,1,5.25,0.5,5.25,0
-2.3818e-10,-1.0208e-05,0,1,5.5,0.5,5.5,0
-3.8181e-10,-1.0731e-05,0,1,5.75,0.5,5.75,0
-6.001e-10,-1.1295e-05,0,1,6,0.5,6,0
-9.2389e-10,-1.1923e-05,0,1,6.25,0.5,6.25,0
-1.3917e-09,-1.2649e-05,0,1,6.5,0.5,6.5,0
-2.0489e-09,-1.3524e-05,0,1,6.75,0.5,6.75,0
-2.9443e-09,-1.4618e-05,0,1,7,0.5,7,0
-4.1237e-09,-1.6026e-05,0,1,7.25,0.5,7.25,0
-5.6195e-09,-1.7877e-05,0,1,7.5,0.5,7.5,0
-7.435e-09,-2.0333e-05,0,1,7.75,0.5,7.75,0
-9.5236e-09,-2.3596e-05,0,1,8,0.5,8,0
-1.1764e-08,-2.7906e-05,0,1,8.25,0.5,8.25,0
-1.3936e-08,-3.3536e-05,0,1,8.5,0.5,8.5,0
-1.571e-08,-4.0786e-05,0,1,8.75,0.5,8.75,0
-1.6706e-08,-4.9961e-05,0,1,9,0.5,9,0
-1.6784e-08,-6.1358e-05,0,1,9.25,0.5,9.25,0
-1.708e-08,-7.5239e-05,0,1,9.5,0.5,9.5,0
-2.2874e-08,-9.1811e-05,0,1,9.75,0.5,9.75,0
-4.2491e-08,-0.00011121,0,1,10,0.5,10,0
