"f_1372-0:0","f_1372-0:1","f_1372-0:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-3.0611e-10,0,0,1,0,0.5,0,0
-3.3711e-10,-1.6028e-06,0,1,0.25,0.5,0.25,0
-4.3818e-10,-3.2248e-06,0,1,0.5,0.5,0.5,0
-5.8435e-10,-4.8853e-06,0,1,0.75,0.5,0.75,0
-7.5447e-10,-6.6036e-06,0,1,1,0.5,1,0
-9.3828e-10,-8.3997e-06,0,1,1.25,0.5,1.25,0
-1.1314e-09,-1.0294e-05,0,1,1.5,0.5,1.5,0
-1.3321e-09,-1.2306e-05,0,1,1.75,0.5,1.75,0
-1.5401e-09,-1.4459e-05,0,1,2,0.5,2,0
-1.7552e-09,-1.6773e-05,0,1,2.25,0.5,2.25,0
-1.9779e-09,-1.9273e-05,0,1,2.5,0.5,2.5,0
-2.2082e-09,-2.198e-05,0,1,2.75,0.5,2.75,0
-2.4464e-09,-2.4919e-05,0,1,3,0.5,3,0
-2.6923e-09,-2.8115e-05,0,1,3.25,0.5,3.25,0
-2.9459e-09,-3.1595e-05,0,1,3.5,0.5,3.5,0
-3.2068e-09,-3.5384e-05,0,1,3.75,0.5,3.75,0
-3.4746e-09,-3.9511e-05,0,1,4,0.5,4,0
-3.7486e-09,-4.4003e-05,0,1,4.25,0.5,4.25,0
-4.028e-09,-4.8889e-05,0,1,4.5,0.5,4.5,0
-4.3118e-09,-5.4199e-05,0,1,4.75,0.5,4.75,0
-4.5989e-09,-5.9962e-05,0,1,5,0.5,5,0
-4.8879e-09,-6.6208e-05,0,1,5.25,0.5,5.25,0
-5.1775e-09,-7.2969e-05,0,1,5.5,0.5,5.5,0
-5.466e-09,-8.0274e-05,0,1,5.75,0.5,5.75,0
-5.7517e-09,-8.8153e-05,0,1,6,0.5,6,0
-6.0326e-09,-9.6637e-05,0,1,6.25,0.5,6.25,0
-6.3068e-09,-0.00010576,0,1,6.5,0.5,6.5,0
-6.5716e-09,-0.00011554,0,1,6.75,0.5,6.75,0
-6.8242e-09,-0.00012601,0,1,7,0.5,7,0
-7.0605e-09,-0.0001372,0,1,7.25,0.5,7.25,0
-7.2745e-09,-0.00014914,0,1,7.5,0.5,7.5,0
-7.4568e-09,-0.00016184,0,1,7.75,0.5,7.75,0
-7.5915e-09,-0.00017534,0,1,8,0.5,8,0
-7.6526e-09,-0.00018964,0,1,8.25,0.5,8.25,0
-7.599e-09,-0.00020478,0,1,8.5,0.5,8.5,0
-7.3729e-09,-0.00022076,0,1,8.75,0.5,8.75,0
-6.9166e-09,-0.00023761,0,1,9,0.5,9,0
-6.26e-09,-0.00025533,0,1,9.25,0.5,9.25,0
-5.8407e-09,-0.00027393,0,1,9.5,0.5,9.5,0
-7.3892e-09,-0.00029342,0,1,9.75,0.5,9.75,0
-1.3571e-08,-0.00031381,0,1,10,0.5,10,0
