"f_10549-0:0","f_10549-0:1","f_10549-0:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.6595e-05,0,0,1,0,0.5,0,0
2.6595e-05,-7.9456e-08,0,1,0.001,0.5,0.001,0
2.6595e-05,-1.5891e-07,0,1,0.002,0.5,0.002,0
2.6595e-05,-2.3837e-07,0,1,0.003,0.5,0.003,0
2.6595e-05,-3.1782e-07,0,1,0.004,0.5,0.004,0
2.6595e-05,-3.9728e-07,0,1,0.005,0.5,0.005,0
2.6595e-05,-4.7674e-07,0,1,0.006,0.5,0.006,0
2.6595e-05,-5.5619e-07,0,1,0.007,0.5,0.007,0
2.6595e-05,-6.3565e-07,0,1,0.008,0.5,0.008,0
2.6595e-05,-7.151e-07,0,1,0.009,0.5,0.009,0
2.6595e-05,-7.9456e-07,0,1,0.01,0.5,0.01,0
2.6595e-05,-8.7402e-07,0,1,0.011,0.5,0.011,0
2.6595e-05,-9.5347e-07,0,1,0.012,0.5,0.012,0
2.6595e-05,-1.0329e-06,0,1,0.013,0.5,0.013,0
2.6595e-05,-1.1124e-06,0,1,0.014,0.5,0.014,0
2.6595e-05,-1.1918e-06,0,1,0.015,0.5,0.015,0
2.6595e-05,-1.2713e-06,0,1,0.016,0.5,0.016,0
2.6595e-05,-1.3508e-06,0,1,0.017,0.5,0.017,0
2.6595e-05,-1.4302e-06,0,1,0.018,0.5,0.018,0
2.6595e-05,-1.5097e-06,0,1,0.019,0.5,0.019,0
2.6595e-05,-1.5891e-06,0,1,0.02,0.5,0.02,0
2.6595e-05,-1.6686e-06,0,1,0.021,0.5,0.021,0
2.6595e-05,-1.748e-06,0,1,0.022,0.5,0.022,0
2.6595e-05,-1.8275e-06,0,1,0.023,0.5,0.023,0
2.6595e-05,-1.9069e-06,0,1,0.024,0.5,0.024,0
2.6595e-05,-1.9864e-06,0,1,0.025,0.5,0.025,0
2.6595e-05,-2.0659e-06,0,1,0.026,0.5,0.026,0
2.6595e-05,-2.1453e-06,0,1,0.027,0.5,0.027,0
2.6595e-05,-2.2248e-06,0,1,0.028,0.5,0.028,0
2.6595e-05,-2.3042e-06,0,1,0.029,0.5,0.029,0
2.6595e-05,-2.3837e-06,0,1,0.03,0.5,0.03,0
2.6595e-05,-2.4631e-06,0,1,0.031,0.5,0.031,0
2.6595e-05,-2.5426e-06,0,1,0.032,0.5,0.032,0
2.6595e-05,-2.622e-06,0,1,0.033,0.5,0.033,0
2.6595e-05,-2.7015e-06,0,1,0.034,0.5,0.034,0
2.6595e-05,-2.781e-06,0,1,0.035,0.5,0.035,0
2.6595e-05,-2.8604e-06,0,1,0.036,0.5,0.036,0
2.6595e-05,-2.9399e-06,0,1,0.037,0.5,0.037,0
2.6595e-05,-3.0193e-06,0,1,0.038,0.5,0.038,0
2.6595e-05,-3.0988e-06,0,1,0.039,0.5,0.039,0
2.6595e-05,-3.1782e-06,0,1,0.04,0.5,0.04,0
2.6595e-05,-3.2577e-06,0,1,0.041,0.5,0.041,0
2.6595e-05,-3.3371e-06,0,1,0.042,0.5,0.042,0
2.6595e-05,-3.4166e-06,0,1,0.043,0.5,0.043,0
2.6595e-05,-3.4961e-06,0,1,0.044,0.5,0.044,0
2.6595e-05,-3.5755e-06,0,1,0.045,0.5,0.045,0
2.6595e-05,-3.655e-06,0,1,0.046,0.5,0.046,0
2.6595e-05,-3.7344e-06,0,1,0.047,0.5,0.047,0
